County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
ozaukee,16607.0,0.0,0.0,0.0,35635.0,WI,45030.0,20800.0,21380.0,2570.0,24300.0,86710.0,25300.0,4506919.0,36630.0,2880607.0,23160.0,56253.0,17050.0,167256.0,15980.0,131640.0,6220.0,125103.0,350.0,13860.0,316622.0,7760.0,164263.0,9920.0,206364.0,3270.0,16681.0,7690.0,118230.0,580.0,12437.0,21760.0,3903249.0,687104.0,19650.0,231080.0,1730.0,1474.0,20310.0,115223.0,21710.0,358876.0,16610.0,144392.0,19050.0,103680.0,36490.0,3435805.0,3180.0,26810.0,16110.0,23240.0,1890.0,860.0,6240.0,8860.0,1100.0,280.0,3100.0,5198.0,2510.0,4457.0,1980.0,2586.0,34030.0,744177.0,35410.0,766385.0,10310.0,84592.0,30610.0,83866.0
pepin,0.0,2186.0,0.0,1278.0,0.0,WI,3460.0,1500.0,1660.0,250.0,2540.0,6770.0,1930.0,188711.0,2810.0,115340.0,1570.0,2597.0,710.0,2320.0,640.0,1309.0,580.0,5937.0,360.0,740.0,10067.0,440.0,4619.0,640.0,12469.0,350.0,1305.0,530.0,5957.0,20.0,355.0,1020.0,111187.0,21154.0,870.0,5730.0,130.0,80.0,940.0,3507.0,1000.0,10578.0,720.0,4341.0,770.0,1758.0,2670.0,128923.0,40.0,274.0,1090.0,1315.0,150.0,72.0,530.0,758.0,60.0,15.0,450.0,834.0,370.0,705.0,270.0,378.0,2420.0,22356.0,2620.0,23965.0,730.0,4130.0,2460.0,5222.0
pierce,0.0,11693.0,0.0,8082.0,0.0,WI,18510.0,8620.0,8230.0,1510.0,11400.0,35610.0,10550.0,1082482.0,15930.0,810727.0,7850.0,9283.0,4210.0,19766.0,3820.0,16219.0,2740.0,24439.0,1030.0,3290.0,34595.0,1930.0,27444.0,3640.0,76982.0,1790.0,9062.0,2420.0,30771.0,90.0,1212.0,7470.0,766782.0,163590.0,6840.0,42108.0,530.0,419.0,7030.0,30813.0,7450.0,74567.0,6110.0,47313.0,6040.0,17375.0,14970.0,731806.0,390.0,2450.0,6180.0,8215.0,1140.0,547.0,3230.0,4611.0,400.0,356.0,2050.0,3828.0,1710.0,3324.0,1310.0,1702.0,13710.0,114951.0,14500.0,121355.0,3660.0,16781.0,13850.0,31713.0
polk,9152.0,0.0,0.0,0.0,12181.0,WI,21180.0,9510.0,9470.0,2050.0,14040.0,40880.0,11770.0,1026590.0,17180.0,716754.0,7310.0,10848.0,4070.0,18598.0,3660.0,14347.0,3490.0,31957.0,1100.0,3430.0,46105.0,2910.0,45490.0,4660.0,88202.0,2700.0,15442.0,3240.0,37143.0,80.0,901.0,7470.0,653455.0,149362.0,6510.0,34159.0,850.0,827.0,6970.0,26249.0,7460.0,62465.0,5980.0,42698.0,5890.0,16076.0,16160.0,661583.0,260.0,1889.0,6400.0,7880.0,920.0,369.0,3510.0,4765.0,410.0,214.0,3310.0,6537.0,2750.0,5623.0,2140.0,2679.0,14510.0,96912.0,15720.0,104032.0,4000.0,12564.0,15680.0,35893.0
portage,0.0,21920.0,0.0,13727.0,0.0,WI,32850.0,16130.0,14150.0,2400.0,17890.0,61150.0,16930.0,1709730.0,27420.0,1229460.0,14150.0,17126.0,7880.0,27550.0,7190.0,20199.0,3950.0,35311.0,950.0,5840.0,48495.0,3880.0,49665.0,6980.0,151010.0,4260.0,19307.0,4550.0,56481.0,160.0,2068.0,10320.0,1056222.0,207489.0,9300.0,59140.0,840.0,653.0,9470.0,35482.0,10280.0,97415.0,7790.0,44941.0,8400.0,26056.0,25540.0,1151936.0,520.0,3458.0,10970.0,12362.0,1300.0,609.0,5120.0,7212.0,810.0,362.0,4490.0,7947.0,3790.0,7139.0,2550.0,3344.0,23250.0,186953.0,24330.0,195002.0,5270.0,18598.0,25420.0,54923.0
price,3277.0,0.0,0.0,0.0,4045.0,WI,6980.0,3250.0,3250.0,460.0,4550.0,12850.0,3090.0,294033.0,5430.0,199744.0,3240.0,3693.0,1490.0,7346.0,1350.0,5922.0,1210.0,12429.0,340.0,1300.0,9655.0,1040.0,11842.0,1770.0,31648.0,940.0,3743.0,1140.0,11983.0,30.0,415.0,1660.0,136211.0,29722.0,1370.0,6937.0,230.0,165.0,1530.0,5132.0,1640.0,12858.0,1150.0,6200.0,1100.0,2999.0,5130.0,186629.0,60.0,423.0,1960.0,1915.0,150.0,60.0,910.0,1199.0,110.0,22.0,1080.0,1983.0,880.0,1657.0,570.0,713.0,4630.0,26290.0,5060.0,28538.0,1180.0,4085.0,5190.0,10974.0
racine,47722.0,0.0,1494.0,0.0,50294.0,WI,94510.0,44770.0,36840.0,12230.0,49010.0,184270.0,59770.0,5206034.0,79110.0,3818723.0,40270.0,41183.0,19160.0,158500.0,17510.0,134579.0,9810.0,105342.0,490.0,13890.0,138725.0,11560.0,172898.0,20590.0,395008.0,11430.0,54516.0,13160.0,161772.0,310.0,4114.0,34970.0,3620218.0,747777.0,31780.0,210689.0,2440.0,2091.0,32750.0,146014.0,34890.0,368645.0,28180.0,193119.0,28710.0,84522.0,71870.0,3471533.0,1750.0,14829.0,29220.0,38203.0,3260.0,1436.0,15630.0,20115.0,1840.0,430.0,15390.0,34819.0,13780.0,31531.0,11400.0,15116.0,64810.0,576866.0,68280.0,597815.0,13840.0,55748.0,75410.0,190519.0
richland,825.0,4064.0,0.0,2883.0,0.0,WI,7860.0,3600.0,3540.0,670.0,5630.0,15430.0,4530.0,325835.0,6350.0,231256.0,3240.0,4031.0,1550.0,4500.0,1350.0,2972.0,1280.0,11412.0,910.0,1390.0,14413.41,1030.0,10751.0,1760.0,28222.0,980.0,3855.0,1140.0,12336.0,30.0,311.0,1890.0,153912.0,34845.0,1610.0,8057.0,240.0,168.0,1720.0,5099.0,1880.0,13547.0,1370.0,8304.0,1280.0,3830.0,5790.0,205027.0,60.0,371.0,2360.0,2631.0,270.0,127.0,1250.0,1686.0,160.0,73.0,1340.0,2571.0,1100.0,2196.0,870.0,1234.0,5120.0,28570.0,5630.0,31103.0,1310.0,3995.0,5950.0,13357.0
rock,43329.0,0.0,833.0,13647.0,18888.0,WI,76660.0,35910.0,30590.0,9590.0,45100.0,150400.0,48320.0,3809142.0,65340.0,2691904.0,28290.0,31113.0,14470.0,92016.0,13240.0,70806.0,8500.0,70595.0,1310.0,10720.0,87453.0,9160.0,119822.0,17510.0,335205.0,9440.0,42703.0,10660.0,121907.0,260.0,4063.0,23970.0,2334498.0,506041.0,21710.0,134770.0,1890.0,1606.0,22270.0,84329.0,23910.0,225099.0,19250.0,115787.0,18310.0,59133.0,58020.0,2464136.0,980.0,5920.0,24050.0,26566.0,2710.0,1240.0,13380.0,17081.0,1460.0,404.0,13290.0,28334.0,11720.0,25698.0,9540.0,12460.0,51940.0,393869.0,55460.0,412395.0,11490.0,43464.0,60900.0,145018.0
rusk,3217.0,0.0,0.0,0.0,3611.0,WI,6660.0,3100.0,2980.0,540.0,4380.0,12860.0,3670.0,247507.0,5280.0,175952.0,2490.0,3000.0,1020.0,3341.0,890.0,1987.0,1110.0,7857.0,510.0,1030.0,7506.0,720.0,7718.0,1480.0,27328.0,1160.0,4193.0,960.0,9769.0,0.0,0.0,1420.0,107743.0,26962.0,1210.0,5669.0,180.0,138.0,1280.0,3773.0,1420.0,9901.0,980.0,5637.0,980.0,3037.0,4690.0,147468.0,40.0,163.0,1860.0,2003.0,160.0,69.0,920.0,1141.0,130.0,27.0,1320.0,2772.0,1090.0,2399.0,780.0,1104.0,4130.0,19472.0,4630.0,21209.0,1020.0,2793.0,5070.0,11683.0
sauk,17083.0,0.0,0.0,12804.0,0.0,WI,32510.0,16000.0,13310.0,2840.0,20620.0,61200.0,18190.0,1579127.0,27180.0,1110525.0,11970.0,17192.0,6840.0,25421.0,6210.0,18458.0,4230.0,40331.0,1320.0,5680.0,93857.0,3800.0,45520.0,6040.0,107168.0,3940.0,16414.0,4330.0,48967.0,140.0,1958.0,9900.0,974869.0,202295.0,8750.0,51422.0,980.0,755.0,9080.0,36878.0,9860.0,90863.0,7690.0,51439.0,7210.0,21563.0,24790.0,1049605.0,530.0,2687.0,10260.0,11938.0,1230.0,589.0,5360.0,7097.0,600.0,265.0,4570.0,8935.0,3830.0,7887.0,3280.0,4627.0,22290.0,160915.0,23690.0,170024.0,5670.0,20494.0,24680.0,54481.0
sawyer,3834.0,0.0,0.0,0.0,4660.0,WI,8400.0,3840.0,3600.0,880.0,5230.0,15540.0,4040.0,364652.0,6440.0,219290.0,3230.0,5087.0,1730.0,7352.0,1580.0,5192.0,1660.0,15732.0,130.0,1510.0,15310.0,1220.0,21532.0,2060.0,45852.0,1180.0,5209.0,1650.0,20116.0,40.0,524.0,2140.0,194540.0,45908.0,1730.0,10066.0,350.0,300.0,1910.0,6653.0,2120.0,17680.0,1500.0,11527.0,1600.0,4933.0,5940.0,229348.0,100.0,640.0,2140.0,2121.0,220.0,112.0,1020.0,1184.0,180.0,38.0,1750.0,3621.0,1470.0,3210.0,1030.0,1267.0,5310.0,35470.0,5880.0,38393.0,1550.0,5063.0,6150.0,14479.0
