County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N21020,A21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
champaign,4387.0,0.0,0.0,0.0,13555.0,OH,18490,7970,7090,2020,9880,34780,10400,480,100,370,40,420,2540,4760,882830,18460,894670,15300,666961,4660,3842,2740,9091,2550,7558,2510,1821,2420,20777,1890,13239,1830,24202,4460,96622,810,620,2138,2640,29264,560,15380,4260,11840,350,90,40,690,400,2297,220,1176,1570,1709,120,271,360,946,3580,63504,329677,670,7240,3170,14864,380,498,3140,8000,200,84,3560,23581,2790,15690,90,187,70,36,430,466,30,23,2490,10967,600,4344,50,457,14660,577956,14610,89334,130,380,170,153,5690,6440,630,69,460,226,990,1151,1480,240,3200,4258,400,251,1960,5415,320,1476,340,1594,550,359,17640,118697,3010,6949,2570,6094,1960,2573,910,832,130,95,13350,82907,14240,89834,60,76,120,177,2930,10677,14880,38087
clark,20578.0,0.0,3115.0,35150.0,0.0,OH,62720,28080,21670,9490,27010,117680,37150,1560,270,1300,40,1570,10560,17680,2972867,62540,3008377,51480,2105623,14870,13754,8180,36726,7600,29816,8280,7042,7070,81264,6280,42391,6360,83676,15960,389600,750,2220,8045,9640,106021,1660,91830,12500,35510,1240,308,180,3298,930,6140,650,2914,4910,5328,450,1005,330,3286,11800,231456,1223452,2460,25749,10400,52914,1140,1424,10520,31265,800,463,11730,86533,9130,48660,270,813,230,114,1660,1734,160,294,8700,41946,2200,15729,280,4708,47870,1931431,47740,316368,420,1677,600,466,18250,18984,1940,228,1630,667,3240,3689,5060,855,9910,12068,1270,747,5580,14890,1030,3151,1140,3523,1660,1058,60360,428436,12870,31827,11300,28771,8460,11207,2930,2625,450,281,43140,297584,45920,317473,330,388,440,1347,9300,30785,51260,134634
clermont,20703.0,0.0,0.0,0.0,73873.0,OH,98450,43740,38480,10020,44220,186220,57190,1490,310,1170,90,1820,12250,24240,6218060,98220,6301720,83440,4689995,24140,22689,20830,103171,19700,85025,19800,18349,13400,196073,15290,159267,11060,195170,20030,445192,760,2950,12698,14020,181628,4270,256341,24550,83660,2040,506,580,11563,2170,15716,1530,7374,9940,10954,780,1922,310,4349,29670,610865,3711588,4860,49275,26600,155021,2520,3126,27170,110062,2280,1058,29580,270602,24580,157442,610,2075,760,387,3640,4299,470,971,22950,93487,5350,35501,700,7546,79940,4418952,79590,805905,2350,8591,1350,1439,30780,36206,5060,1934,3510,1937,5230,6391,5990,1029,16080,21270,2250,1128,11060,31748,2260,9233,2600,10183,2600,1746,94540,952581,13620,30855,11490,26472,8630,11146,4600,4381,1010,874,74030,770039,78300,814488,2070,2506,1990,4250,18250,80378,76350,198002
clinton,3653.0,0.0,0.0,0.0,14274.0,OH,19410,8440,7430,2330,10450,37070,11530,430,110,320,0,620,2970,5020,1012578,19350,1026275,16020,686781,5020,4132,2400,12381,2250,10100,2270,2369,2700,32325,2060,18343,1830,23440,4350,100057,760,520,2448,2640,29000,720,63989,4430,13697,330,82,60,1600,420,2748,190,962,1650,1773,110,254,130,939,3440,67644,426803,740,7729,2980,18455,400,515,2990,7121,220,106,3430,26302,2650,16000,50,121,70,25,470,537,50,190,2460,12346,670,5562,90,882,15030,690220,15000,128663,120,541,230,206,5860,6804,610,80,360,182,890,1067,1560,254,3380,4415,360,154,2440,6865,380,1658,430,1779,590,400,18440,169108,3600,8468,3060,7373,2310,3045,820,775,170,160,13600,121512,14700,130238,110,180,150,564,3380,14167,15200,45353
columbiana,12596.0,0.0,0.0,0.0,32160.0,OH,46790,20740,18120,5340,25200,87340,25310,450,90,350,0,1000,5720,13140,2098274,46650,2126388,38870,1543275,9880,10070,7270,27957,6700,19693,4540,4260,6030,57333,5430,39833,4930,64398,10550,204961,1040,3000,14641,6700,71949,1750,71173,9960,28114,970,248,110,1417,900,5525,730,3274,3970,4225,280,727,190,3478,6650,126186,685102,1510,15932,5700,27998,820,975,5790,13847,400,157,6640,43312,4820,25633,120,295,90,61,680,735,100,378,4800,22035,2060,17432,210,2291,35280,1352669,35230,216689,310,1151,780,587,13220,14942,1380,174,750,334,2280,2741,3550,629,7150,9088,870,370,4460,10188,1360,4948,1480,5355,1600,1023,44670,293345,9120,20465,7810,18122,5260,6560,2150,2013,600,420,32210,202169,34530,216074,200,184,300,1317,6690,24627,38140,95432
coshocton,3492.0,0.0,0.0,0.0,10557.0,OH,16180,7030,6550,1690,8940,31430,9630,60,30,30,0,300,2130,4240,693860,16140,703890,13170,495595,3350,3114,2240,9430,2090,7294,1270,1212,2410,31835,1920,14606,1860,25400,3500,72287,970,930,3617,2290,23916,550,18988,3270,10030,330,84,50,654,330,1935,200,1002,1160,1247,60,168,70,837,1970,37098,191717,540,5722,1610,7370,310,329,1670,3969,90,28,1960,11739,1310,7215,30,65,30,8,140,138,0,0,1390,7340,520,4411,40,549,12090,435039,12050,68130,80,255,260,283,4720,4755,610,40,210,81,580,644,1380,222,2630,3438,260,194,1690,4284,500,2767,530,2973,500,347,15300,97816,3290,7589,2850,6717,2030,2771,520,480,230,168,10870,63350,11710,68928,50,50,90,203,2350,7746,13060,33521
crawford,5282.0,0.0,0.0,0.0,12765.0,OH,20220,9100,7290,2380,10940,36950,10710,370,270,110,40,620,3000,5730,848289,20180,859282,16590,604082,5270,5227,3110,10559,2900,8446,1850,1295,2170,19145,2470,25720,2350,26869,5080,96165,580,1030,3361,3220,33319,750,22501,4020,10993,400,101,30,327,390,2471,280,1169,1470,1527,110,246,160,1031,2700,49347,246710,780,9154,2190,10836,450,495,2280,4424,120,68,2700,15946,1750,8011,50,120,30,3,240,204,30,62,1950,9250,640,4642,40,159,15370,529096,15280,79786,90,333,270,225,5830,6083,610,44,300,146,930,1079,1750,305,3200,3944,380,147,1920,4732,460,2508,520,2673,660,408,19310,111367,4030,9222,3480,8341,2450,3044,810,741,190,151,13860,73705,14790,79922,50,65,90,260,2980,9102,16380,39169
cuyahoga,75562.0,285907.0,0.0,85803.0,109975.0,OH,619030,320870,162530,101790,288800,1072930,333440,19640,11520,8150,3670,7660,80380,158570,37797178,616890,38380140,511680,26641856,158910,323503,120790,1098076,113280,896787,116700,141633,88990,1156541,98020,1611925,65980,1125192,124500,2954463,310,18180,83267,80380,1021776,31560,2382832,152240,582962,13100,3269,4200,106494,12680,102048,9750,45517,57390,67424,7310,18286,2110,47369,179370,4406894,24577641,33420,352220,159630,1320067,16130,19101,155610,867113,11340,8830,178710,2230924,129040,704606,2520,8775,3810,2512,18260,18841,4710,26582,146870,841350,39480,319310,6390,66222,473510,27009928,470420,5498243,18690,119508,6360,5293,175010,206513,35090,33083,20010,10739,39450,44073,36580,6256,73170,84080,10520,3397,69390,194136,10550,31133,12470,34535,12930,8454,590380,6807904,121350,310516,107150,274057,75330,97162,41130,39024,4680,3603,429600,5304834,463240,5606317,14300,31272,14640,55078,105820,452940,480170,1375816
darke,3874.0,0.0,904.0,19051.0,0.0,OH,25090,10690,9940,2340,15500,47470,14410,170,0,170,0,380,2450,7090,1177152,25030,1197896,20500,856392,6350,8030,4300,17331,4110,12285,2850,2657,3550,42356,3750,27267,2890,30367,5870,100776,1550,610,2428,3630,37906,1410,54267,5910,20744,410,100,120,1596,820,4862,440,2047,1730,1840,160,369,450,2415,4160,76968,410755,1040,12948,3570,19792,520,546,3560,7315,200,63,4150,27854,2830,14133,90,258,100,12,340,349,60,183,2910,14218,830,6953,90,756,19420,769769,19350,122809,180,671,300,266,8150,9283,1120,115,620,284,1240,1427,2270,414,4470,6228,520,407,3250,9802,500,2098,570,2247,840,594,23480,160157,3820,8430,3180,7295,2490,3439,1070,978,220,210,17620,113526,18980,125459,110,152,210,422,4180,16570,19270,47569
defiance,0.0,0.0,0.0,0.0,13080.0,OH,18940,8250,7200,2140,10860,35240,10420,320,0,320,0,350,2070,5450,943200,18910,956492,15550,676038,4790,4558,3380,9404,3180,7034,2340,2153,2180,24734,2540,16046,2070,24314,5060,105741,720,620,2380,3180,35072,810,45026,4220,13292,340,88,60,945,370,2621,270,1351,1610,1726,110,297,130,884,3340,63607,356133,800,9388,2940,15560,370,438,2950,6908,160,63,3330,23160,2420,11767,70,145,70,16,320,297,30,31,2500,12284,640,4338,90,1266,14970,628535,14930,104395,130,486,140,123,5840,6511,650,47,510,255,910,1159,1600,279,3200,4308,430,226,1960,5497,250,976,290,1049,420,251,18130,136489,3060,6978,2650,6248,1920,2505,810,768,120,102,13720,97726,14450,104430,110,145,130,215,2770,10606,15300,39954
