County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
fayette,14214.0,0.0,0.0,0.0,16009.0,PA,61800.0,29120.0,24230.0,7280.0,35290.0,113690.0,31670.0,1120.0,70.0,1050.0,2826639.0,61650.0,2857035.0,50740.0,2029246.0,16000.0,18396.0,9990.0,42510.0,8900.0,28093.0,3490.0,1765.0,6410.0,79210.0,6690.0,56898.0,6130.0,73338.0,15380.0,282023.0,580.0,6730.0,30483.0,9270.0,108816.0,2080.0,67746.0,12890.0,30396.0,1490.0,381.0,120.0,1725.0,1210.0,6313.0,1110.0,4442.0,5730.0,6121.0,390.0,987.0,120.0,1067.0,8020.0,162961.0,897037.0,6990.0,33823.0,830.0,791.0,6900.0,18423.0,7970.0,53971.0,5850.0,33226.0,6060.0,23089.0,45580.0,1862739.0,45490.0,304804.0,390.0,1312.0,1010.0,561.0,16570.0,17507.0,1540.0,226.0,1100.0,506.0,3110.0,3806.0,4190.0,738.0,8650.0,10808.0,1500.0,450.0,5150.0,13230.0,1630.0,3370.0,1800.0,3804.0,3680.0,681.0,58650.0,417087.0,11880.0,25447.0,10300.0,22941.0,6580.0,7847.0,2960.0,2815.0,710.0,285.0,41770.0,287757.0,44890.0,306159.0,210.0,259.0,410.0,2193.0,7740.0,27634.0,51050.0,130189.0
franklin,11322.0,0.0,0.0,0.0,26722.0,PA,75390.0,33820.0,32860.0,7460.0,39620.0,144850.0,41980.0,3510.0,140.0,3380.0,3926257.0,75210.0,3982483.0,60210.0,2738265.0,25110.0,31246.0,14510.0,66153.0,13470.0,48554.0,6440.0,3349.0,9240.0,104029.0,11820.0,123032.0,9360.0,108906.0,20020.0,443752.0,1490.0,5870.0,22953.0,12330.0,152113.0,3340.0,148108.0,16340.0,56226.0,1530.0,383.0,250.0,4284.0,2040.0,12729.0,1250.0,5324.0,6120.0,6304.0,650.0,1473.0,690.0,9058.0,19140.0,386785.0,1943387.0,16240.0,79520.0,2440.0,2006.0,17380.0,55651.0,19060.0,139011.0,14730.0,105439.0,14050.0,70850.0,58680.0,2617957.0,58250.0,425972.0,750.0,3109.0,690.0,482.0,22960.0,26040.0,3320.0,1088.0,2820.0,1494.0,3970.0,4735.0,5120.0,864.0,12520.0,16540.0,1310.0,642.0,7240.0,21929.0,1170.0,3086.0,1310.0,3376.0,3730.0,708.0,70790.0,542313.0,11140.0,24281.0,9590.0,21706.0,7620.0,10194.0,3620.0,3440.0,580.0,330.0,53230.0,399937.0,56920.0,428719.0,480.0,684.0,680.0,2048.0,11630.0,44706.0,59200.0,150692.0
fulton,1017.0,0.0,0.0,0.0,2735.0,PA,7060.0,3080.0,3210.0,630.0,4120.0,13390.0,3600.0,330.0,0.0,330.0,322234.0,7050.0,327076.0,5610.0,232352.0,2280.0,2749.0,1180.0,4059.0,1080.0,3066.0,490.0,263.0,980.0,11081.0,1000.0,9317.0,980.0,11476.0,1780.0,34284.0,380.0,770.0,3120.0,1150.0,12738.0,260.0,7649.0,1600.0,4842.0,130.0,32.0,0.0,0.0,170.0,854.0,120.0,579.0,490.0,499.0,60.0,122.0,50.0,632.0,1300.0,24204.0,118250.0,1120.0,4477.0,140.0,129.0,1200.0,3665.0,1290.0,8385.0,1000.0,6442.0,910.0,4103.0,5330.0,207978.0,5280.0,31319.0,30.0,131.0,60.0,38.0,1950.0,2084.0,240.0,23.0,120.0,65.0,330.0,366.0,510.0,94.0,1090.0,1426.0,90.0,69.0,840.0,2116.0,110.0,306.0,130.0,325.0,380.0,74.0,6600.0,43779.0,1140.0,2333.0,930.0,1957.0,680.0,888.0,300.0,260.0,60.0,27.0,4870.0,29227.0,5310.0,31827.0,0.0,0.0,30.0,59.0,1030.0,3272.0,5610.0,14059.0
huntingdon,3460.0,0.0,0.0,0.0,9184.0,PA,19090.0,8490.0,8570.0,1710.0,13370.0,36430.0,10090.0,200.0,50.0,150.0,873869.0,19040.0,886003.0,15120.0,601588.0,5890.0,5938.0,3240.0,11760.0,2930.0,7873.0,1440.0,544.0,2550.0,29163.0,2460.0,23308.0,2490.0,28424.0,5150.0,101724.0,550.0,2680.0,12160.0,3130.0,35837.0,730.0,28835.0,4460.0,12134.0,410.0,104.0,50.0,744.0,440.0,2395.0,380.0,1594.0,1820.0,1904.0,90.0,197.0,130.0,1680.0,3100.0,61626.0,310188.0,2690.0,12063.0,400.0,352.0,2740.0,6188.0,3100.0,18946.0,2300.0,13584.0,2310.0,11604.0,14190.0,561042.0,14080.0,88684.0,110.0,360.0,240.0,159.0,5610.0,6226.0,620.0,181.0,370.0,186.0,950.0,1182.0,1470.0,265.0,2980.0,3935.0,490.0,218.0,1980.0,4788.0,430.0,1306.0,470.0,1420.0,1010.0,178.0,17930.0,120977.0,3280.0,6927.0,2770.0,6068.0,2000.0,2496.0,930.0,911.0,190.0,82.0,12790.0,82464.0,13900.0,88767.0,70.0,87.0,120.0,309.0,2610.0,9278.0,15350.0,38967.0
indiana,7972.0,0.0,0.0,0.0,14222.0,PA,36500.0,16790.0,16320.0,2810.0,19850.0,69080.0,18950.0,1870.0,90.0,1760.0,1839084.0,36390.0,1865159.0,28660.0,1269308.0,12290.0,14047.0,7760.0,30500.0,7200.0,23390.0,2620.0,1357.0,5050.0,74572.0,5440.0,59524.0,4530.0,52432.0,9930.0,188230.0,750.0,3540.0,15980.0,5840.0,73232.0,1640.0,70581.0,8490.0,26075.0,770.0,195.0,150.0,2697.0,960.0,5606.0,780.0,3619.0,3580.0,3713.0,390.0,1001.0,140.0,2238.0,6300.0,126682.0,733599.0,5320.0,29662.0,800.0,781.0,5690.0,21201.0,6280.0,52414.0,4430.0,23493.0,4840.0,24199.0,26940.0,1249474.0,26710.0,211555.0,390.0,1611.0,380.0,222.0,9910.0,10941.0,1370.0,231.0,770.0,362.0,2050.0,2485.0,2120.0,394.0,5010.0,6780.0,820.0,243.0,3440.0,9997.0,640.0,1524.0,710.0,1654.0,1660.0,310.0,33850.0,276904.0,5450.0,10656.0,4650.0,9541.0,2890.0,3595.0,2040.0,1967.0,330.0,158.0,24670.0,200615.0,26350.0,214138.0,250.0,292.0,360.0,1383.0,4970.0,19922.0,28730.0,72596.0
berks,28066.0,0.0,0.0,28857.0,29844.0,PA,201400.0,96720.0,75870.0,25480.0,112860.0,380490.0,119140.0,4780.0,4070.0,690.0,11454289.0,200760.0,11609688.0,166590.0,8291399.0,64980.0,93357.0,44130.0,262537.0,40930.0,193095.0,18020.0,10614.0,24510.0,371404.0,34680.0,458890.0,25190.0,347128.0,44350.0,792029.0,1540.0,14840.0,64016.0,28470.0,386431.0,8820.0,464065.0,46730.0,155399.0,4960.0,1238.0,910.0,15228.0,5410.0,34550.0,3790.0,16633.0,18810.0,20192.0,1940.0,4953.0,900.0,19018.0,61220.0,1321136.0,7040040.0,53800.0,279794.0,6110.0,5592.0,56660.0,303364.0,61040.0,598400.0,48500.0,317917.0,47790.0,197503.0,152440.0,7865955.0,151170.0,1423176.0,3560.0,16388.0,2350.0,1740.0,62350.0,74153.0,10030.0,4862.0,7950.0,4448.0,13140.0,15937.0,11360.0,1829.0,31410.0,39495.0,4570.0,2065.0,20040.0,58407.0,4040.0,10019.0,4590.0,11145.0,7540.0,1469.0,190270.0,1797907.0,34370.0,80920.0,30250.0,72518.0,23690.0,30512.0,13260.0,12815.0,2130.0,1126.0,136590.0,1354280.0,146910.0,1437394.0,2320.0,3966.0,2780.0,15165.0,30010.0,120666.0,159690.0,446348.0
chester,55798.0,0.0,0.0,54685.0,32374.0,PA,250820.0,117310.0,110740.0,18510.0,131360.0,493810.0,158030.0,4890.0,1620.0,3280.0,26684000.0,250100.0,27084748.0,206700.0,18538843.0,104990.0,210785.0,87230.0,974192.0,82250.0,761010.0,40130.0,43172.0,38540.0,924052.0,74710.0,2072007.0,34490.0,742257.0,50430.0,1221249.0,1320.0,12280.0,63621.0,38480.0,667190.0,22270.0,1798987.0,70800.0,400748.0,8070.0,2009.0,3800.0,91139.0,11170.0,94776.0,5690.0,29753.0,24400.0,27965.0,3280.0,8415.0,1670.0,27387.0,116000.0,3426966.0,22309917.0,103280.0,946668.0,10380.0,9748.0,107740.0,715549.0,115660.0,1689183.0,92040.0,886240.0,99770.0,516837.0,204470.0,21107726.0,201800.0,4814779.0,19180.0,101675.0,3530.0,3463.0,83860.0,126380.0,28240.0,43045.0,12770.0,6772.0,15410.0,19655.0,7580.0,1291.0,31010.0,40422.0,7120.0,4437.0,32550.0,147259.0,5730.0,20506.0,6490.0,23221.0,6580.0,1614.0,235190.0,5117538.0,19660.0,37719.0,16070.0,32303.0,13790.0,18558.0,13170.0,13198.0,2520.0,1743.0,190910.0,4712309.0,200280.0,4966310.0,16040.0,36205.0,16110.0,70278.0,60130.0,534109.0,171740.0,545192.0
lebanon,4364.0,0.0,0.0,9896.0,17672.0,PA,67730.0,31340.0,28040.0,7210.0,38870.0,128430.0,37970.0,1820.0,810.0,1030.0,3549715.0,67550.0,3595197.0,54950.0,2481943.0,21330.0,29053.0,14510.0,57600.0,13560.0,41612.0,6080.0,2218.0,8030.0,98872.0,11320.0,125038.0,9080.0,116555.0,16520.0,312142.0,1040.0,5280.0,19470.0,10700.0,136582.0,3430.0,166833.0,14850.0,45482.0,1320.0,331.0,240.0,3940.0,1710.0,10158.0,1220.0,5339.0,5860.0,6207.0,560.0,1394.0,460.0,4644.0,17670.0,355524.0,1863391.0,15340.0,71175.0,1990.0,1662.0,16210.0,60555.0,17610.0,135218.0,13610.0,87905.0,13770.0,67072.0,51320.0,2371761.0,50870.0,398104.0,800.0,3100.0,590.0,415.0,20400.0,22989.0,3110.0,378.0,2350.0,1291.0,3730.0,4552.0,4210.0,711.0,10720.0,14239.0,1540.0,732.0,6210.0,18009.0,1040.0,2435.0,1160.0,2639.0,2610.0,487.0,63510.0,499651.0,10900.0,25034.0,9550.0,22745.0,7270.0,9358.0,3360.0,3262.0,550.0,329.0,46180.0,375421.0,49310.0,399717.0,510.0,718.0,760.0,2423.0,10280.0,43351.0,53190.0,134965.0
montgomery,118509.0,14845.0,0.0,78102.0,44626.0,PA,415720.0,203030.0,169520.0,35420.0,219690.0,781790.0,236180.0,6740.0,3160.0,3570.0,41816906.0,414380.0,42477141.0,339030.0,27384082.0,171660.0,567735.0,137510.0,1714278.0,129170.0,1296262.0,56830.0,63597.0,62800.0,1521104.0,116310.0,4768946.0,60130.0,1245194.0,84400.0,1899971.0,390.0,23300.0,126491.0,66530.0,1119100.0,34970.0,2191296.0,120570.0,660235.0,13730.0,3458.0,6460.0,155611.0,18070.0,152102.0,9950.0,50737.0,45090.0,52121.0,5820.0,14735.0,2020.0,45764.0,186130.0,5594067.0,34709037.0,164880.0,1510272.0,17110.0,14465.0,168950.0,1135673.0,185470.0,2688620.0,142370.0,1259603.0,159620.0,1049396.0,336920.0,32979597.0,332760.0,7359238.0,26510.0,160880.0,6900.0,6651.0,137200.0,208407.0,42120.0,70094.0,23100.0,12876.0,28260.0,35333.0,13690.0,2375.0,51430.0,65807.0,11340.0,5066.0,54040.0,238219.0,11480.0,42606.0,12950.0,48289.0,10860.0,2714.0,389450.0,8313211.0,36800.0,72250.0,30210.0,61652.0,24400.0,31344.0,24730.0,24196.0,4950.0,3153.0,313900.0,7192187.0,330350.0,7596908.0,20920.0,49255.0,22430.0,121502.0,92140.0,685535.0,290620.0,1118356.0
delaware,51572.0,36053.0,0.0,10601.0,81943.0,PA,275390.0,137150.0,94690.0,38300.0,140230.0,515500.0,167430.0,6170.0,3640.0,2540.0,21681051.0,274540.0,22010390.0,226820.0,15267633.0,94980.0,166084.0,70020.0,633309.0,65020.0,473593.0,35730.0,31080.0,38780.0,751471.0,56450.0,1377145.0,32790.0,600522.0,57170.0,1270758.0,110.0,15890.0,84523.0,40100.0,616553.0,16720.0,1246048.0,74200.0,329339.0,8780.0,2212.0,2940.0,75589.0,8310.0,69167.0,5560.0,26613.0,29750.0,33696.0,3570.0,9439.0,900.0,20571.0,112230.0,2951403.0,16848834.0,97320.0,707755.0,11830.0,9742.0,100340.0,704873.0,111820.0,1440229.0,84210.0,669907.0,97270.0,426902.0,215780.0,16171053.0,214040.0,3487011.0,12420.0,67188.0,4670.0,4008.0,87460.0,113362.0,19290.0,22731.0,14510.0,8209.0,20600.0,25045.0,10990.0,1872.0,37200.0,45283.0,7330.0,3192.0,32680.0,122516.0,8290.0,30182.0,9130.0,33640.0,8570.0,1836.0,260530.0,4035154.0,42310.0,96112.0,36720.0,83802.0,27190.0,33921.0,20050.0,19486.0,3460.0,1964.0,196110.0,3386411.0,210330.0,3588195.0,9550.0,23561.0,9860.0,44020.0,51090.0,324427.0,207740.0,659134.0
