County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
whiteside,13432.0,0.0,1.0,0.0,11884.0,IL,28090.0,12680.0,11620.0,3440.0,16420.0,54130.0,16490.0,1357519.0,22930.0,912506.0,10040.0,15583.0,5900.0,31881.0,5500.0,26548.0,2990.0,25333.0,890.0,4090.0,26782.0,3440.0,34023.0,7590.0,148142.0,2730.0,16805.0,4480.0,47883.0,100.0,2076.0,6270.0,626349.0,121287.0,5240.0,26848.0,930.0,932.0,5730.0,19824.0,6240.0,48362.0,4530.0,23958.0,4390.0,18044.0,21100.0,899759.0,310.0,1583.0,8360.0,9090.483,830.0,366.0,4760.0,6213.0,550.0,163.0,4930.0,10500.0,4380.0,9661.0,3270.0,4090.0,18980.0,140869.0,20040.0,150149.0,3980.0,29380.0,22540.0,56926.0
adams,7181.0,0.0,0.0,0.0,22775.0,IL,32050.0,15060.0,13240.0,3330.0,21890.0,60530.0,17960.0,1662924.0,26770.0,1124082.0,12970.0,18525.0,7580.0,69940.0,7090.0,61200.0,4030.0,49982.0,1390.0,5750.0,61528.0,4040.0,56243.0,6830.0,119791.0,2100.0,11308.0,4710.0,51479.0,180.0,3278.0,6840.0,817266.0,146792.0,5800.0,34297.0,960.0,1022.0,6140.0,22060.0,6830.0,57991.0,4800.0,27369.0,4990.0,24727.0,24530.0,1129570.0,570.0,3677.0,10160.0,11740.0,1570.0,778.0,5290.0,7148.0,620.0,439.0,5590.0,11832.0,4890.0,10771.0,3560.0,4289.0,22050.0,183545.0,23460.0,194593.0,4920.0,26296.0,25140.0,61937.0
brown,455.0,0.0,0.0,0.0,1877.0,IL,2370.0,1110.0,1020.0,200.0,1810.0,4480.0,1290.0,114205.0,1910.0,77574.0,990.0,1135.0,360.0,852.0,340.0,651.0,370.0,2576.0,340.0,330.0,2611.0,220.0,1955.0,530.0,10536.0,130.0,685.0,340.0,3514.0,0.0,0.0,500.0,48129.0,9305.0,400.0,1947.0,60.0,42.0,400.0,974.0,500.0,3013.0,320.0,1727.0,340.0,1115.0,1840.0,75839.0,0.0,0.0,690.0,822.0,110.0,48.0,400.0,514.0,40.0,23.0,350.0,716.0,300.0,640.0,220.0,291.0,1670.0,11153.0,1800.0,12038.0,430.0,2309.0,1790.0,4546.0
cass,1312.0,0.0,0.0,0.0,3482.0,IL,6290.0,2680.0,2490.0,1070.0,4390.0,13220.0,4850.0,279144.0,5370.0,197414.0,2040.0,2218.0,900.0,3007.0,810.0,2337.0,940.0,3213.0,340.0,610.0,6967.0,530.0,4468.0,1300.0,23551.0,520.0,2999.0,810.0,8887.0,40.0,881.0,970.0,90682.0,17356.0,810.0,3793.0,130.0,175.0,790.0,2089.0,970.0,6147.0,600.0,2843.0,660.0,2773.0,4790.0,176135.0,50.0,255.0,2070.0,2300.0,230.0,110.0,1300.0,1525.0,130.0,42.0,1400.0,3234.0,1260.0,2998.0,1130.0,1543.0,4050.0,25704.0,4330.0,28110.0,860.0,5396.0,5160.0,14847.0
hancock,2742.0,0.0,0.0,0.0,6023.0,IL,8930.0,3860.0,4230.0,750.0,6680.0,17230.0,4740.0,418107.0,7110.0,269646.0,3820.0,5013.0,1920.0,6555.0,1750.0,5020.0,1440.0,12507.0,1000.0,1470.0,13974.0,1130.0,10707.0,2170.0,35997.0,880.0,4279.0,1530.0,16653.0,50.0,835.0,1610.0,147488.0,31218.0,1350.0,6728.0,210.0,185.0,1350.0,3411.0,1600.0,10514.0,940.0,4497.0,1090.0,5877.0,6730.0,275232.0,90.0,433.0,2620.0,3059.0,340.0,180.0,1420.0,1878.0,250.0,204.0,1440.0,2991.0,1210.0,2635.0,890.0,1173.0,6090.0,39892.0,6640.0,44857.0,1810.0,10593.0,6480.0,15912.0
logan,2364.0,0.0,0.0,0.0,9478.0,IL,12750.0,5890.0,5290.0,1360.0,8410.0,24010.0,6900.0,657674.0,10430.0,417938.0,5570.0,6644.0,2540.0,8750.0,2260.0,6790.0,1600.0,14984.0,580.0,1680.0,23360.0,1400.0,14457.0,3340.0,75205.0,910.0,5299.0,2170.0,25067.0,110.0,2400.0,2910.0,294270.0,52187.0,2390.0,11749.0,480.0,466.0,2650.0,7925.0,2910.0,20647.0,2040.0,10591.0,2210.0,9854.0,9910.0,449846.0,170.0,857.0,3730.0,4250.0,500.0,250.0,2050.0,2714.0,260.0,138.0,2080.0,4370.0,1830.0,3981.0,1340.0,1613.0,9040.0,69442.0,9580.0,75438.0,2200.0,15314.0,9820.0,23729.0
marshall,1558.0,0.0,0.0,0.0,4242.0,IL,5960.0,2690.0,2660.0,550.0,3440.0,11380.0,3210.0,322205.0,4720.0,196457.0,2900.0,3002.0,1400.0,7322.0,1270.0,4894.0,750.0,6507.0,380.0,1010.0,9743.0,760.0,7684.0,1690.0,34016.0,560.0,3016.0,1080.0,12586.0,40.0,851.0,1380.0,148752.0,26224.0,1150.0,6158.0,190.0,209.0,1250.0,4392.0,1380.0,10917.0,970.0,5235.0,980.0,3455.0,4590.0,223758.0,80.0,397.0,1650.0,1856.0,100.0,50.0,910.0,1194.0,130.0,45.0,860.0,1809.0,730.0,1632.0,550.0,677.0,4220.0,36674.0,4450.0,39828.0,1100.0,10443.0,4490.0,11096.0
mason,2152.0,0.0,0.0,0.0,4090.0,IL,6600.0,2890.0,2970.0,660.0,4350.0,12800.0,3680.0,323460.0,5270.0,202608.0,3010.0,3109.0,1250.0,3759.0,1130.0,2789.0,770.0,7164.0,390.0,840.0,8096.0,660.0,6169.0,1870.0,37075.0,680.0,3968.0,1180.0,12789.0,50.0,976.0,1180.0,122873.0,21840.0,1030.0,5276.0,140.0,127.0,1040.0,3182.0,1180.0,8736.0,760.0,3711.0,790.0,3249.0,5020.0,217947.0,70.0,344.0,1890.0,1999.0,170.0,77.0,1080.0,1412.0,90.0,18.0,1160.0,2502.0,1030.0,2291.0,710.0,838.0,4590.0,34364.0,4830.0,37581.0,1050.0,8726.0,5200.0,12809.0
menard,1320.0,0.0,0.0,0.0,4713.0,IL,6180.0,2620.0,2920.0,580.0,3500.0,12030.0,3480.0,358346.0,5100.0,238388.0,2590.0,2648.0,1350.0,3834.0,1160.0,2721.0,910.0,8707.0,290.0,1020.0,5099.0,710.0,8310.0,1670.0,46224.0,510.0,3488.0,1110.0,14018.0,50.0,751.0,1800.0,183238.0,33155.0,1550.0,7545.0,230.0,239.0,1700.0,6398.0,1790.0,14378.0,1440.0,8473.0,1300.0,4340.0,4950.0,249737.0,90.0,357.0,1940.0,2314.0,350.0,200.0,1080.0,1438.0,140.0,74.0,810.0,1745.0,680.0,1553.0,520.0,639.0,4590.0,39203.0,4820.0,41850.0,1160.0,6641.0,4680.0,11548.0
morgan,3566.0,0.0,0.0,0.0,10257.0,IL,15810.0,7350.0,6270.0,1930.0,9780.0,29450.0,8500.0,808600.0,12740.0,503130.0,6060.0,9111.0,3350.0,14295.0,3000.0,11198.0,2140.0,25016.0,690.0,2280.0,48173.0,1800.0,22522.0,3830.0,87895.0,1400.0,8258.0,2620.0,30717.0,110.0,1958.0,3270.0,375042.0,65540.0,2750.0,14885.0,430.0,423.0,3000.0,9580.0,3270.0,25363.0,2360.0,12178.0,2370.0,11864.0,11970.0,555645.0,190.0,1044.0,4710.0,5001.449,660.0,360.0,2390.0,2957.0,330.0,166.0,2980.0,6483.0,2640.0,5913.0,1840.0,2183.0,10860.0,88895.0,11560.0,95674.0,2540.0,18161.0,12380.0,31729.0
mcdonough,4536.0,0.0,0.0,0.0,7578.0,IL,12540.0,6090.0,5070.0,1180.0,8020.0,22830.0,6170.0,602518.0,10170.0,382673.0,4750.0,7164.0,2810.0,9743.0,2570.0,7220.0,1750.0,14059.0,710.0,2090.0,16562.0,1380.0,13154.0,2930.0,81648.0,970.0,4907.0,1870.0,18340.0,50.0,726.0,2350.0,257461.0,47492.0,1810.0,9867.0,360.0,420.0,2060.0,7300.0,2350.0,18481.0,1550.0,7906.0,1750.0,8387.0,9300.0,407239.0,140.0,670.0,3570.0,4014.0,490.0,236.0,1780.0,2339.0,270.0,235.0,2200.0,4247.0,1940.0,3826.0,1230.0,1507.0,8450.0,64720.0,9070.0,69059.0,2050.0,10421.0,9690.0,21956.0
pike,1656.0,0.0,0.0,0.0,5522.0,IL,6910.0,2900.0,3230.0,710.0,5180.0,13810.0,4160.0,315072.0,5620.0,205241.0,2730.0,4316.0,1180.0,4032.0,1120.0,3180.0,1180.0,9158.0,750.0,1010.0,17515.0,690.0,6782.0,1540.0,29375.0,560.0,3396.0,1030.0,10200.0,0.0,0.0,1170.0,121981.0,22519.0,960.0,5085.0,190.0,179.0,1020.0,2682.0,1170.0,8029.0,800.0,4206.0,750.0,2863.0,5060.0,214481.0,80.0,523.0,2020.0,2308.0,260.0,145.0,1160.0,1469.0,130.0,126.0,1360.0,3144.0,1190.0,2767.0,920.0,1193.0,4500.0,32240.0,4970.0,35158.0,1220.0,7950.0,5250.0,13785.0
schuyler,1069.0,0.0,0.0,0.0,2771.0,IL,3320.0,1410.0,1490.0,360.0,2150.0,6380.0,1790.0,152406.0,2710.0,104246.0,1270.0,1496.0,470.0,1312.0,420.0,1028.0,560.0,5104.0,370.0,420.0,4338.0,320.0,2383.0,850.0,15575.0,270.0,1766.0,540.0,5721.0,20.0,300.0,600.0,54310.0,11468.0,520.0,2324.0,60.0,57.0,500.0,1441.0,600.0,3921.0,400.0,2036.0,400.0,1465.0,2550.0,99232.0,30.0,168.0,970.0,1116.0,120.0,61.0,560.0,728.0,70.0,47.0,560.0,1176.0,490.0,1049.0,350.0,426.0,2330.0,14394.0,2500.0,15967.0,590.0,3054.0,2510.0,6331.0
scott,617.0,0.0,0.0,0.0,1914.0,IL,2380.0,1010.0,1090.0,260.0,1680.0,4730.0,1400.0,122091.0,1940.0,75059.0,870.0,1064.0,400.0,826.0,370.0,601.0,360.0,3704.0,270.0,310.0,3591.491,270.0,3181.0,590.0,11544.0,280.0,1909.0,350.0,4119.0,0.0,0.0,430.0,46161.0,7823.0,380.0,1783.0,40.0,42.0,370.0,849.0,430.0,2739.0,300.0,1520.0,270.0,1142.0,1850.0,82420.0,0.0,0.0,760.0,861.0,100.0,57.0,450.0,578.0,40.0,26.0,420.0,902.0,360.0,805.0,280.0,314.0,1680.0,12372.0,1810.0,13847.0,440.0,4226.0,1820.0,4663.0
woodford,3602.0,0.0,0.0,0.0,15036.0,IL,18210.0,7570.0,9190.0,1270.0,10090.0,37330.0,11830.0,1331285.0,15280.0,885044.0,10000.0,14753.0,5320.0,22468.0,4790.0,17728.0,2570.0,32056.0,910.0,3920.0,38027.0,2300.0,33239.0,4580.0,105895.0,1260.0,7204.0,3080.0,40799.0,160.0,2947.0,6800.0,910703.0,156160.0,5940.0,39491.0,760.0,1009.0,6360.0,28346.0,6790.0,69754.0,5180.0,33245.0,5530.0,31054.0,14860.0,968280.0,610.0,3191.0,6320.0,8455.0,690.0,338.0,3320.0,4984.0,450.0,313.0,1880.0,3895.0,1640.0,3500.0,1320.0,1708.0,13800.0,177929.0,14400.0,186742.0,3540.0,28420.0,13680.0,37336.0
