County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
columbia,11894.0,0.0,627.0,11253.0,0.0,WI,14590.0,7770.0,5330.0,1270.0,7160.0,21580.0,3110.0,480.0,40.0,440.0,990894.0,14550.0,1001858.0,12750.0,709597.0,5780.0,4276.0,4330.0,19049.0,4190.0,14746.0,5270.0,6931.0,1530.0,14578.0,2760.0,43861.0,2090.0,32749.0,3900.0,87391.0,-600.0,510.0,1169.0,2830.0,42475.0,920.0,55571.0,3300.0,12899.0,330.0,84.0,80.0,1600.0,390.0,3542.0,200.0,920.0,1590.0,1753.0,180.0,258.0,60.0,698.0,6900.0,143338.0,762906.0,6240.0,38201.0,550.0,444.0,6420.0,29504.0,6880.0,69383.0,5680.0,38883.0,5380.0,17986.0,12560.0,727784.0,12540.0,126186.0,310.0,1459.0,400.0,329.0,4790.0,5179.0,1220.0,267.0,640.0,302.0,1120.0,1354.0,670.0,79.0,2030.0,2636.0,350.0,58.0,1100.0,3847.0,610.0,1822.0,670.0,2062.0,1210.0,222.0,14350.0,131893.0,1420.0,2759.0,1250.0,2566.0,430.0,-373.0,980.0,969.0,240.0,151.0,12290.0,122672.0,12600.0,128902.0,200.0,246.0,250.0,1117.0,3320.0,21031.0,11040.0,24063.0
crawford,0.0,3651.0,0.0,2592.0,0.0,WI,-21650.0,-10460.0,-9100.0,-1900.0,-12050.0,-40500.0,-11490.0,140.0,0.0,140.0,-1216499.0,-21620.0,-1235911.0,-18350.0,-896947.0,-7790.0,-10077.0,-5100.0,-17760.0,-4800.0,-12490.0,-6310.0,-6237.0,-2760.0,-24756.0,-4190.0,-34770.0,-2710.0,-35056.0,-4400.0,-85124.0,-410.0,-1940.0,-9167.0,-3180.0,-40742.0,-1400.0,-61211.0,-4840.0,-19412.0,-460.0,-117.0,-130.0,-2193.0,-630.0,-4721.0,-410.0,-1916.0,-1740.0,-1683.0,-250.0,-476.0,-300.0,-2110.0,-8960.0,-181897.0,-844546.0,-8030.0,-50388.0,-780.0,-630.0,-8260.0,-35519.0,-8930.0,-88487.0,-7150.0,-47479.0,-6830.0,-17888.0,-17540.0,-826455.0,-17340.0,-137969.0,-370.0,-2039.0,160.0,113.0,-7310.0,-8255.0,-1250.0,-125.0,-950.0,-459.0,-1520.0,-1731.0,-1000.0,-166.0,-3840.0,-5166.0,-770.0,-196.0,-2000.0,-6608.0,250.0,969.0,270.0,1076.0,340.0,64.0,-20300.0,-164378.0,-2390.0,-4293.0,-2050.0,-3854.0,-1530.0,-1872.0,-1310.0,-1213.0,90.0,54.0,-16220.0,-130101.0,-16690.0,-138463.0,30.0,20.0,-230.0,-680.0,-4040.0,-18396.0,-16290.0,-37765.0
dane,0.0,176552.0,0.0,68005.0,0.0,WI,254280.0,137090.0,94410.0,20730.0,107370.0,461350.0,130720.0,7880.0,1850.0,6040.0,18717710.0,253720.0,19015137.0,219080.0,13086844.0,102230.0,125813.0,71370.0,451801.0,67290.0,336792.0,72100.0,99119.0,34930.0,511999.0,61150.0,1189268.0,29460.0,514731.0,46790.0,1245422.0,1820.0,10000.0,34472.0,34440.0,545035.0,16230.0,1263700.0,75540.0,297428.0,6180.0,1473.0,2570.0,46559.0,8040.0,52608.0,5640.0,24752.0,34300.0,37499.0,5240.0,11967.0,1710.0,36243.0,102030.0,2476516.0,13839662.0,94230.0,757538.0,5810.0,4819.0,92670.0,556893.0,101640.0,1343396.0,78330.0,541664.0,83040.0,329617.0,213120.0,13823383.0,211190.0,2707489.0,9670.0,56890.0,3380.0,2294.0,88730.0,104508.0,24300.0,15074.0,12730.0,6320.0,20840.0,21015.0,11940.0,1986.0,35770.0,46022.0,5570.0,2158.0,28240.0,89533.0,5040.0,12736.0,5650.0,14511.0,7750.0,1455.0,242990.0,2955149.0,25300.0,47943.0,21200.0,42098.0,17380.0,24307.0,14320.0,13324.0,2160.0,1174.0,197820.0,2608112.0,206180.0,2743859.0,5880.0,9846.0,7280.0,28139.0,59660.0,307417.0,181680.0,445011.0
dodge,12257.0,0.0,401.0,10963.0,0.0,WI,-214930.0,-117450.0,-78300.0,-17480.0,-86700.0,-391390.0,-113750.0,840.0,70.0,760.0,-15607237.0,-214470.0,-15857429.0,-184700.0,-11309263.0,-87170.0,-129046.0,-61980.0,-353501.0,-57980.0,-260065.0,-62350.0,-67624.0,-30290.0,-450117.0,-52690.0,-759163.0,-23070.0,-397544.0,-37700.0,-1037491.0,-1200.0,-10600.0,-52476.0,-27470.0,-429515.0,-14360.0,-952493.0,-65480.0,-250191.0,-5670.0,-1339.0,-2340.0,-42096.0,-6880.0,-45165.0,-4750.0,-20935.0,-29680.0,-30619.0,-5040.0,-11136.0,-1220.0,-24702.0,-92080.0,-2301470.0,-12104100.0,-85500.0,-733304.0,-4770.0,-4204.0,-83750.0,-524935.0,-91770.0,-1286062.0,-71380.0,-505449.0,-75160.0,-285127.0,-178400.0,-11409883.0,-176600.0,-2282959.0,-8930.0,-54093.0,620.0,503.0,-75720.0,-88388.0,-20870.0,-12045.0,-11110.0,-5536.0,-19040.0,-18938.0,-8150.0,-1352.0,-30040.0,-38354.0,-6100.0,-1959.0,-23980.0,-75426.0,960.0,3086.0,1080.0,3461.0,1600.0,318.0,-205530.0,-2501371.0,-21560.0,-39794.0,-18280.0,-35022.0,-15520.0,-22424.0,-13130.0,-12190.0,370.0,234.0,-164910.0,-2200416.0,-171040.0,-2312824.0,220.0,341.0,-5950.0,-21485.0,-45880.0,-253581.0,-157740.0,-382137.0
door,6010.0,0.0,0.0,0.0,8832.0,WI,-26930.0,-13030.0,-11110.0,-2620.0,-15900.0,-52850.0,-16760.0,380.0,0.0,380.0,-1305676.0,-26910.0,-1326330.0,-23890.0,-1088495.0,-8550.0,-6416.0,-4560.0,11529.0,-4180.0,10788.0,-6990.0,-5603.0,-1910.0,-17747.0,-3580.0,12540.0,-2590.0,-10589.0,-5360.0,-65181.0,-1080.0,-2900.0,-13383.0,-2370.0,-16579.0,-710.0,-81267.0,-5240.0,-20652.0,-540.0,-132.0,-120.0,-1029.0,-380.0,-2025.0,-280.0,-599.0,-2150.0,-1927.0,-290.0,-529.0,-490.0,-10934.0,-8870.0,-150421.0,-767388.0,-8180.0,-49988.0,-570.0,-311.0,-8090.0,-26591.0,-8850.0,-77934.0,-7150.0,-39615.0,-6550.0,-14449.0,-21550.0,-865218.0,-21370.0,-150785.0,-60.0,-153.0,440.0,433.0,-9390.0,-10875.0,-690.0,358.0,-1070.0,-488.0,-1960.0,-2172.0,-2040.0,-342.0,-5460.0,-7627.0,-1000.0,-215.0,-1910.0,-5901.0,710.0,2501.0,800.0,2799.0,820.0,157.0,-25380.0,-192692.0,-3510.0,-7045.0,-3030.0,-6360.0,-2580.0,-3648.0,-1610.0,-1500.0,330.0,220.0,-19540.0,-139680.0,-20220.0,-146353.0,120.0,226.0,-10.0,913.0,-3600.0,-10770.0,-21980.0,-59166.0
douglas,8919.0,0.0,203.0,0.0,6459.0,WI,5140.0,2860.0,1020.0,1200.0,50.0,10080.0,3970.0,990.0,680.0,300.0,181134.0,5120.0,174221.0,5430.0,276911.0,480.0,-3851.0,-1350.0,-22023.0,-1360.0,-17401.0,690.0,844.0,-510.0,-8003.0,-1540.0,-25547.0,-840.0,-21158.0,950.0,14934.0,-340.0,-630.0,-2503.0,-170.0,-8834.0,-440.0,-18778.0,610.0,-6912.0,110.0,22.0,-40.0,-351.0,-510.0,-2873.0,-100.0,-896.0,1280.0,1333.0,50.0,104.0,-100.0,-440.0,390.0,-13492.0,-6822.0,700.0,-1407.0,-320.0,-237.0,310.0,-2225.0,420.0,-4320.0,610.0,114.0,-260.0,-8797.0,4540.0,98643.0,4680.0,9839.0,-80.0,-1058.0,420.0,387.0,1540.0,1460.0,-480.0,-207.0,410.0,211.0,420.0,394.0,470.0,57.0,1330.0,1744.0,100.0,60.0,-530.0,-2142.0,650.0,3052.0,700.0,3401.0,1070.0,173.0,5590.0,14737.0,1470.0,3625.0,1420.0,3496.0,880.0,1044.0,420.0,309.0,230.0,121.0,4190.0,7727.0,4240.0,5263.0,110.0,102.0,-110.0,-752.0,170.0,-688.0,5570.0,13819.0
dunn,0.0,8263.0,0.0,6983.0,0.0,WI,-1700.0,-1060.0,10.0,-600.0,1030.0,-1970.0,-180.0,470.0,100.0,380.0,-13430.0,-1700.0,-7886.0,-1280.0,-28064.0,-860.0,-164.0,-20.0,1848.0,0.0,1966.0,-220.0,601.0,390.0,2426.0,630.0,16279.0,-20.0,-1263.0,-950.0,-19572.0,980.0,-250.0,-3771.0,-350.0,-857.0,60.0,26531.0,460.0,5542.0,10.0,6.0,30.0,36.0,200.0,775.0,40.0,597.0,-100.0,84.0,30.0,167.0,220.0,2229.0,-420.0,-3911.0,8561.0,-450.0,-1621.0,40.0,47.0,-420.0,89.0,-410.0,-1711.0,-310.0,-1416.0,-150.0,2077.0,-1350.0,12289.0,-1380.0,4713.0,-20.0,-200.0,410.0,376.0,-70.0,297.0,0.0,-76.0,-30.0,28.0,-30.0,-101.0,120.0,32.0,40.0,242.0,-180.0,112.0,510.0,1993.0,640.0,2970.0,690.0,3294.0,1000.0,190.0,-1850.0,-5946.0,-770.0,-1530.0,-750.0,-1606.0,-330.0,-173.0,-50.0,-19.0,240.0,163.0,-1330.0,4899.0,-1050.0,7148.0,90.0,81.0,30.0,-81.0,520.0,6119.0,-2330.0,-7265.0
eau claire,0.0,24075.0,0.0,17281.0,0.0,WI,29100.0,16080.0,10410.0,2350.0,12690.0,51030.0,13810.0,2080.0,1230.0,870.0,2166055.0,29030.0,2199767.0,24620.0,1263867.0,10620.0,14095.0,6090.0,41163.0,5760.0,30438.0,5880.0,9083.0,3280.0,63742.0,5160.0,132176.0,3470.0,54402.0,5600.0,117026.0,-260.0,1110.0,2440.0,4150.0,54504.0,1410.0,232113.0,7870.0,33713.0,630.0,153.0,160.0,3212.0,750.0,6345.0,590.0,2540.0,4160.0,4226.0,380.0,785.0,40.0,4036.0,8030.0,215661.0,1490070.0,7230.0,75333.0,590.0,471.0,7360.0,30112.0,7990.0,138563.0,5950.0,33900.0,6660.0,28832.0,23370.0,1626326.0,23260.0,380361.0,740.0,4192.0,980.0,842.0,9290.0,11628.0,1980.0,478.0,1410.0,637.0,2350.0,2544.0,2100.0,349.0,3830.0,5037.0,440.0,278.0,2490.0,7999.0,1540.0,5655.0,1670.0,6346.0,2650.0,507.0,27710.0,442955.0,4010.0,7508.0,3370.0,6776.0,2190.0,2682.0,1870.0,1707.0,620.0,321.0,21420.0,372283.0,22600.0,385027.0,650.0,1296.0,690.0,6013.0,5460.0,27376.0,22220.0,61269.0
florence,599.0,0.0,24.0,0.0,1306.0,WI,-45090.0,-23570.0,-17420.0,-3790.0,-21560.0,-82560.0,-23720.0,30.0,0.0,30.0,-2506791.0,-45010.0,-2550098.0,-38360.0,-1767562.0,-15680.0,-22374.0,-9380.0,-49071.0,-8650.0,-37160.0,-9640.0,-10471.0,-5600.0,-78165.0,-8010.0,-74642.0,-4940.0,-63797.0,-8500.0,-169132.0,-900.0,-3690.0,-15872.0,-5920.0,-72495.0,-2170.0,-236800.0,-12460.0,-43306.0,-1080.0,-267.0,-270.0,-4197.0,-1310.0,-9240.0,-1020.0,-4329.0,-5900.0,-5581.0,-680.0,-1524.0,-340.0,-4995.0,-13550.0,-296271.0,-1609546.0,-12270.0,-101129.0,-1020.0,-780.0,-12430.0,-49087.0,-13510.0,-155483.0,-10290.0,-59345.0,-10900.0,-41413.0,-35190.0,-1725825.0,-34890.0,-335512.0,-910.0,-5151.0,40.0,26.0,-14900.0,-17278.0,-2580.0,-399.0,-2140.0,-1019.0,-3720.0,-3803.0,-2990.0,-543.0,-6880.0,-9141.0,-1170.0,-580.0,-4430.0,-13015.0,80.0,356.0,80.0,384.0,160.0,26.0,-42660.0,-407645.0,-6610.0,-12520.0,-5660.0,-11092.0,-3900.0,-5042.0,-3050.0,-2770.0,30.0,13.0,-31740.0,-321990.0,-33380.0,-338943.0,0.0,0.0,-690.0,-6874.0,-7370.0,-26449.0,-35220.0,-87283.0
fond du lac,16024.0,0.0,912.0,24713.0,0.0,WI,47850.0,23060.0,20210.0,4290.0,25650.0,90580.0,26530.0,1200.0,170.0,1040.0,2722315.0,47760.0,2767159.0,40350.0,1909286.0,17070.0,19630.0,10890.0,48036.0,10230.0,36875.0,10770.0,13324.0,4820.0,58266.0,9440.0,132725.0,6700.0,82971.0,10750.0,192090.0,1210.0,3810.0,11495.0,7530.0,95964.0,2270.0,166511.0,10850.0,44922.0,990.0,244.0,260.0,3621.0,1360.0,8498.0,1020.0,4530.0,4250.0,4295.0,500.0,1031.0,690.0,9804.0,14170.0,292570.0,1583361.0,12730.0,86578.0,1230.0,917.0,13110.0,52790.0,14140.0,143923.0,10680.0,59256.0,11350.0,43538.0,38440.0,1872505.0,38000.0,328468.0,650.0,3297.0,670.0,576.0,16220.0,17793.0,3200.0,959.0,1860.0,857.0,3020.0,3545.0,3570.0,645.0,7910.0,10886.0,1160.0,338.0,4280.0,13217.0,1050.0,3337.0,1160.0,3793.0,1750.0,318.0,45120.0,385456.0,5860.0,12274.0,4980.0,10934.0,4100.0,5895.0,2560.0,2437.0,430.0,233.0,35110.0,309843.0,36980.0,328261.0,420.0,673.0,610.0,1978.0,8920.0,34278.0,36220.0,83175.0
