County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
boone,8324.0,0.0,0.0,0.0,12397.0,IL,226.0,10100.0,-57.0,3600.0,84.0,-1183.0,-1198.0,76007.0,387.0,40002.0,-471.0,-2344.0,-25.0,1938.0,24.0,1973.0,66.0,3503.0,18.0,174.0,5536.0,39.0,-206.0,167.0,5323.0,-555.0,-7707.0,111.0,3716.0,5.0,166.0,-318.0,1000646.0,-4735.0,-181.0,3801.0,-136.0,-663.0,-404.0,-2078.0,-317.0,1436.0,-439.0,-8037.0,-196.0,805.0,307.0,64845.0,-18.0,596.0,-341.0,-544.0,24.0,14.0,-222.0,-287.0,-327.0,-116.0,91.0,402.0,85.0,402.0,-182.0,-404.0,492.0,11816.0,438.0,12004.0,244.0,3557.0,35.0,-1472.0
bureau,6193.0,0.0,0.0,0.0,10089.0,IL,-55.0,7800.0,-87.0,1720.0,40.0,-220.0,-68.0,49193.0,51.0,11928.0,-609.0,-1880.0,-112.0,5754.0,-115.0,5675.0,-162.0,1381.0,6.0,158.0,1903.0,-8.0,181.0,121.0,4073.0,-331.0,-3955.0,76.0,2701.0,6.0,470.0,-99.0,382593.0,703.0,15.0,2595.0,-61.0,-219.0,-116.0,-797.0,-104.0,1895.0,-185.0,-1998.0,-32.0,381.0,12.0,41832.0,29.0,209.0,-206.0,-726.0,-50.0,-15.0,-105.0,-214.0,-229.0,-40.0,42.0,189.0,2.0,165.0,-55.0,21.0,49.0,9480.0,38.0,10802.0,98.0,6085.0,-103.0,-155.0
grundy,7898.0,0.0,0.0,0.0,12851.0,IL,157.0,10630.0,-29.0,2680.0,-93.0,-2.0,12.0,88847.0,256.0,50369.0,-917.0,-2878.0,-69.0,2390.0,-52.0,2380.0,49.0,3490.0,-3.0,156.0,5062.0,121.0,-2457.0,45.0,7554.0,-461.0,-7071.0,145.0,3666.0,-1.0,75.0,-234.0,1007591.0,-1701.0,-51.0,4026.0,-145.0,-121.0,-232.0,-2107.0,-235.0,1837.0,-282.0,-6402.0,-198.0,466.0,167.0,84432.0,43.0,340.0,-288.0,-79.0,51.0,48.0,-16.0,-13.0,-408.0,-55.0,33.0,85.0,37.0,37.0,-111.0,-145.0,290.0,19543.0,266.0,20214.0,261.0,5977.0,-34.0,-1518.0
iroquois,2587.0,0.0,0.0,0.0,9940.0,IL,-82.0,6110.0,-61.0,1520.0,-45.0,-239.0,-86.0,83999.0,10.0,12939.0,-534.0,-1872.0,-26.0,8631.0,1.0,8762.0,-53.0,1885.0,7.0,148.0,27361.303,25.0,581.0,10.0,2605.0,-166.0,-1780.0,94.0,2426.0,16.0,450.0,-156.0,339724.0,-1843.0,-56.0,1287.0,-104.0,-93.0,-143.0,-954.0,-145.0,266.0,-147.0,-1467.0,-114.0,343.0,85.0,78854.0,18.0,41.0,-98.0,-229.0,4.0,-2.0,-20.0,-127.0,-167.0,-64.0,66.0,167.0,52.0,169.0,-18.0,40.0,53.0,15448.0,-5.0,16781.0,191.0,9515.0,-139.0,-1336.0
lee,5499.0,0.0,0.0,0.0,9258.0,IL,-113.0,7670.0,-33.0,1790.0,-102.0,-263.0,-139.0,58829.0,-101.0,10644.0,-570.0,-1282.0,31.0,2934.0,70.0,2994.0,28.0,1101.0,-18.0,220.0,7695.0,16.0,-477.0,-42.0,3609.0,-238.0,-2534.0,143.0,2821.0,26.0,1007.0,-143.0,430279.0,-2327.0,-53.0,2031.0,-94.0,-317.0,-166.0,-578.0,-142.0,1145.0,-221.0,-2511.0,-115.0,-443.0,-32.0,50960.0,8.0,152.0,-192.0,-288.0,25.0,11.0,-77.0,-148.0,-220.0,-45.0,-14.0,174.0,24.0,186.0,-6.0,-11.0,31.0,11593.0,-46.0,12913.0,156.0,8552.0,-139.0,138.0
livingston,3611.0,0.0,0.0,0.0,10956.0,IL,-170.0,7980.0,-82.0,1820.0,-318.0,-492.0,-216.0,56698.0,-113.0,17444.0,-600.0,-2025.0,-20.0,7933.0,41.0,7907.0,-2.0,1429.0,-3.0,182.0,-9440.0,-2.0,930.0,48.0,4778.0,-197.0,-2656.0,69.0,2520.0,6.0,608.0,27.0,499119.0,2749.0,99.0,3593.0,-70.0,-661.0,1.0,295.0,35.0,3671.0,-81.0,-1473.0,13.0,622.0,-64.0,50330.0,17.0,330.0,-164.0,-237.0,-16.0,-5.0,-84.0,-160.0,-224.0,-80.0,-59.0,98.0,-38.0,94.0,-12.0,24.0,-11.0,14644.0,-28.0,15642.0,57.0,8285.0,-188.0,-642.0
lasalle,18881.0,0.0,0.0,0.0,27275.0,IL,-131.0,25500.0,-202.0,6190.0,-437.0,-1141.0,-785.0,123082.0,-154.0,40781.0,-1905.0,-7060.0,-117.0,4323.0,-23.0,4277.0,-213.0,2135.0,-9.0,405.0,15281.0,72.0,3812.0,302.0,14597.0,-638.0,-10326.0,396.0,8984.0,26.0,1399.0,-433.0,1492975.0,-432.0,-117.0,5857.0,-245.0,-458.0,-444.0,-2661.0,-423.0,-1447.0,-594.0,-7881.0,-176.0,2233.0,61.0,110404.0,44.0,548.0,-619.0,-1142.0,60.0,30.0,-347.0,-670.0,-719.0,-210.0,119.0,561.0,91.0,493.0,-108.0,-241.0,184.0,25225.0,208.0,26803.0,345.0,9048.0,-342.0,-1530.0
ogle,7427.0,0.0,0.0,0.0,15399.0,IL,-106.0,11180.0,-217.0,2790.0,-250.0,-689.0,-419.0,75185.0,-116.0,20485.0,-767.0,-2777.0,16.0,5085.0,40.0,5275.0,-122.0,901.0,-18.0,177.0,18013.0,121.0,1010.0,-125.0,2785.0,-516.0,-7332.0,106.0,3839.0,31.0,982.0,-281.0,808889.0,-2675.0,-107.0,3039.0,-127.0,-131.0,-278.0,-1707.0,-289.0,2169.0,-352.0,-5270.0,-173.0,1038.0,14.0,64444.0,42.0,374.0,-317.0,-487.0,2.0,4.0,-93.0,-259.0,-343.0,-123.0,23.0,45.0,-27.0,44.0,-115.0,-138.0,94.0,13777.0,-11.0,14491.0,94.0,7011.0,-199.0,-389.0
putnam,1279.0,0.0,0.0,0.0,1733.0,IL,-18.0,1340.0,6.0,230.0,39.0,21.0,36.0,20434.0,-39.0,1624.0,-88.0,-667.0,-20.0,283.0,13.0,199.0,-11.0,-273.0,3.0,76.0,8304.0,24.0,284.0,59.0,1952.0,-75.0,-765.0,34.0,690.0,6.0,259.0,4.0,86247.0,1249.0,21.0,536.0,-7.0,-43.0,12.0,175.0,4.0,688.0,-9.0,-314.0,-6.0,349.0,-13.0,16893.0,1.0,32.0,-24.0,-60.0,7.0,1.0,-20.0,-24.0,-57.0,-10.0,12.0,21.0,8.0,14.0,9.0,7.0,-5.0,3622.0,-3.0,3830.0,-6.0,2278.0,-10.0,-156.0
stark,712.0,0.0,0.0,0.0,1900.0,IL,61.0,1200.0,10.0,240.0,1.0,27.0,-36.0,14637.0,36.0,3716.0,-95.0,-376.0,-1.0,455.0,11.0,445.0,-8.0,378.0,-4.0,14.0,1137.0,-16.0,-369.0,-30.0,-1723.0,-2.0,-329.0,27.0,452.0,-5.0,51.0,28.0,62648.0,557.0,40.0,482.0,-27.0,-19.0,6.0,30.0,28.0,525.0,-3.0,-96.0,6.0,170.0,8.0,12615.0,4.0,29.0,-46.0,-36.0,4.0,-1.0,-33.0,-68.0,-35.0,-12.0,15.0,51.0,55.0,60.0,2.0,10.0,10.0,3114.0,-8.0,3581.0,11.0,2853.0,70.0,-72.0
