County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
mahoning,6304,72641,590,12107,10655,OH,112550.0,54430.0,36390.0,15400.0,62960.0,200400.0,60050.0,2570.0,1000.0,1560.0,5541098.0,112150.0,5626221.0,91120.0,3759764.0,29950.0,43281.0,23400.0,110023.0,21830.0,83304.0,14840.0,15094.0,15460.0,197525.0,17930.0,200500.0,12650.0,160256.0,28440.0,596217.0,590.0,6470.0,23554.0,16960.0,181669.0,5030.0,313611.0,26160.0,85123.0,2950.0,751.0,530.0,10973.0,2150.0,14159.0,2040.0,9698.0,9030.0,9831.0,1130.0,2985.0,420.0,8202.0,22010.0,446404.0,2653049.0,19300.0,120451.0,2320.0,2384.0,19180.0,62998.0,21890.0,187411.0,16290.0,89233.0,17750.0,75576.0,84000.0,3766753.0,83310.0,682983.0,1490.0,6905.0,1080.0,993.0,31540.0,32647.0,5430.0,798.0,2390.0,1104.0,7570.0,8717.0,6490.0,1122.0,14230.0,17861.0,2380.0,764.0,12110.0,30089.0,1840.0,6714.0,2020.0,7504.0,4570.0,757.0,107520.0,879629.0,22370.0,53403.0,19720.0,46666.0,13090.0,16220.0,8300.0,7933.0,840.0,499.0,76210.0,651432.0,83030.0,693307.0,1110.0,1896.0,1410.0,6262.0,17490.0,68286.0,90330.0,231503.0
marion,4928,4654,116,0,10591,OH,28010.0,12080.0,9980.0,4350.0,12680.0,53460.0,17030.0,510.0,330.0,180.0,1225657.0,27930.0,1240157.0,23430.0,886159.0,5750.0,6357.0,3770.0,14140.0,3460.0,9813.0,2890.0,2328.0,3190.0,30431.0,2760.0,29082.0,2990.0,42182.0,6860.0,132571.0,530.0,1000.0,3924.0,3930.0,41547.0,1000.0,37396.0,5370.0,14500.0,540.0,139.0,60.0,998.0,480.0,2972.0,330.0,1472.0,1880.0,2059.0,220.0,498.0,170.0,874.0,4370.0,79621.0,424523.0,3780.0,18972.0,470.0,510.0,3770.0,7974.0,4350.0,27879.0,3230.0,18294.0,3280.0,15223.0,20830.0,784577.0,20780.0,124796.0,180.0,660.0,170.0,124.0,8230.0,8401.0,940.0,264.0,530.0,244.0,1380.0,1508.0,2290.0,377.0,4530.0,5462.0,530.0,210.0,2660.0,6694.0,260.0,1056.0,280.0,1177.0,1470.0,249.0,26850.0,171630.0,6350.0,15208.0,5570.0,13586.0,4160.0,5419.0,1320.0,1190.0,100.0,48.0,18650.0,116167.0,20370.0,125632.0,110.0,139.0,180.0,806.0,4080.0,15700.0,22870.0,59003.0
medina,10969,14706,0,0,32968,OH,90420.0,39260.0,37010.0,6990.0,46630.0,169390.0,50930.0,1520.0,100.0,1420.0,5980091.0,90210.0,6065352.0,75950.0,4399941.0,30900.0,31684.0,21100.0,87682.0,19780.0,64033.0,23920.0,19934.0,12600.0,161835.0,17280.0,226095.0,11170.0,169782.0,20610.0,476289.0,900.0,3630.0,16211.0,13100.0,163179.0,5640.0,314277.0,23370.0,85261.0,2460.0,621.0,490.0,8662.0,2430.0,17321.0,1720.0,8205.0,9010.0,10313.0,1050.0,2321.0,450.0,7954.0,34210.0,697020.0,4092820.0,31090.0,199803.0,2610.0,2839.0,30950.0,120771.0,34120.0,326408.0,28010.0,185381.0,27520.0,95341.0,74060.0,4320637.0,73520.0,805396.0,2440.0,9139.0,760.0,748.0,29520.0,37642.0,5580.0,2623.0,2980.0,1531.0,6490.0,8183.0,4400.0,751.0,14670.0,20507.0,2430.0,977.0,9910.0,26714.0,1120.0,3525.0,1300.0,4070.0,2870.0,574.0,86180.0,917871.0,9050.0,18330.0,7420.0,15620.0,5440.0,6772.0,5580.0,5466.0,500.0,352.0,69340.0,768198.0,72830.0,807165.0,1850.0,2649.0,1970.0,4582.0,18060.0,81855.0,67970.0,170833.0
meigs,1873,1670,219,0,3607,OH,9120.0,3530.0,4000.0,1130.0,5200.0,18250.0,5570.0,160.0,0.0,160.0,381347.0,9090.0,385166.0,7350.0,280246.0,1990.0,1727.0,890.0,2469.0,810.0,2002.0,870.0,595.0,1230.0,10651.0,680.0,4284.0,700.0,8506.0,2410.0,52838.0,470.0,710.0,3360.0,1280.0,12081.0,250.0,6158.0,1930.0,3819.0,210.0,49.0,0.0,0.0,110.0,584.0,90.0,439.0,600.0,606.0,50.0,103.0,0.0,0.0,1190.0,22530.0,99814.0,1030.0,3547.0,140.0,165.0,930.0,1662.0,1180.0,5521.0,830.0,4444.0,650.0,2854.0,6720.0,231152.0,6700.0,34620.0,40.0,98.0,60.0,59.0,2490.0,2692.0,150.0,7.0,120.0,44.0,480.0,499.0,500.0,86.0,1560.0,1939.0,160.0,61.0,1030.0,2179.0,130.0,748.0,140.0,795.0,560.0,101.0,8740.0,51348.0,2090.0,4877.0,1810.0,4285.0,1260.0,1544.0,510.0,416.0,40.0,30.0,6080.0,31908.0,6690.0,34758.0,0.0,0.0,30.0,31.0,1260.0,3540.0,7540.0,19542.0
mercer,2090,2207,467,0,9661,OH,20950.0,9040.0,8170.0,1440.0,15190.0,39730.0,12900.0,70.0,0.0,70.0,1150344.0,20910.0,1177722.0,17720.0,769838.0,6920.0,9941.0,4450.0,21847.0,4150.0,16985.0,2740.0,2505.0,2640.0,25446.0,3860.0,38520.0,2360.0,27838.0,4510.0,78005.0,1380.0,490.0,1650.0,2740.0,30619.0,1600.0,135066.0,5600.0,27378.0,520.0,132.0,180.0,2659.0,730.0,4827.0,460.0,2500.0,1740.0,1963.0,150.0,366.0,750.0,8161.0,3770.0,71742.0,465725.0,3340.0,22577.0,370.0,506.0,3230.0,8414.0,3750.0,31699.0,2550.0,14120.0,2700.0,12609.0,16830.0,810658.0,16620.0,146908.0,240.0,1196.0,130.0,102.0,7150.0,9544.0,1260.0,124.0,550.0,262.0,1350.0,1818.0,1710.0,324.0,3790.0,5934.0,440.0,421.0,2740.0,8715.0,220.0,945.0,240.0,1009.0,720.0,126.0,19680.0,165526.0,2560.0,5507.0,2160.0,4871.0,1810.0,2554.0,1220.0,1229.0,80.0,61.0,15360.0,137420.0,16350.0,147955.0,150.0,232.0,280.0,795.0,3940.0,27430.0,15920.0,39776.0
miami,6937,6177,1718,0,22336,OH,51000.0,21830.0,20230.0,5340.0,27130.0,96230.0,28860.0,1480.0,80.0,1400.0,2756820.0,50890.0,2797164.0,42520.0,1975508.0,14910.0,15042.0,9600.0,49902.0,8980.0,38128.0,9720.0,7768.0,6550.0,70651.0,7910.0,75279.0,5920.0,78559.0,11820.0,250980.0,950.0,1930.0,7605.0,7470.0,87359.0,2480.0,146863.0,11760.0,40344.0,1100.0,268.0,170.0,2860.0,1260.0,8147.0,740.0,3510.0,4260.0,4734.0,480.0,1077.0,460.0,6504.0,13540.0,268060.0,1474830.0,12230.0,78599.0,1100.0,1191.0,12090.0,32138.0,13480.0,112956.0,10720.0,62840.0,10460.0,46350.0,40070.0,1868179.0,39800.0,324333.0,730.0,3573.0,330.0,380.0,16320.0,19265.0,2660.0,653.0,1520.0,784.0,3070.0,3523.0,3450.0,568.0,8640.0,11594.0,1130.0,650.0,5390.0,13754.0,480.0,1667.0,550.0,1990.0,2430.0,445.0,48380.0,394184.0,7930.0,17454.0,6810.0,15426.0,4960.0,6298.0,2820.0,2553.0,180.0,131.0,36650.0,305067.0,39160.0,324161.0,440.0,522.0,650.0,2044.0,8780.0,38069.0,39660.0,98260.0
monroe,2723,2485,212,0,2130,OH,6400.0,2660.0,2930.0,550.0,3830.0,12480.0,3520.0,20.0,0.0,20.0,446152.0,6390.0,451943.0,4880.0,188553.0,2270.0,2533.0,950.0,3516.0,880.0,2691.0,580.0,1428.0,1050.0,10867.0,920.0,58507.0,550.0,4917.0,2050.0,36099.0,600.0,620.0,4313.0,1150.0,12174.0,320.0,8971.0,1380.0,5791.0,130.0,34.0,0.0,0.0,130.0,660.0,110.0,484.0,420.0,412.0,30.0,77.0,0.0,0.0,800.0,17248.0,186214.0,680.0,8926.0,100.0,159.0,600.0,974.0,790.0,10176.0,390.0,1960.0,480.0,2883.0,4810.0,340105.0,4770.0,66365.0,100.0,635.0,60.0,56.0,1690.0,1784.0,180.0,13.0,40.0,12.0,260.0,289.0,340.0,63.0,970.0,1268.0,120.0,41.0,750.0,1762.0,90.0,411.0,100.0,497.0,400.0,97.0,6010.0,72748.0,1070.0,2361.0,920.0,2080.0,620.0,730.0,240.0,217.0,20.0,9.0,4440.0,64657.0,4810.0,69266.0,0.0,0.0,210.0,2500.0,1200.0,12107.0,4870.0,14079.0
montgomery,50289,55355,4591,0,91973,OH,255760.0,121400.0,79690.0,40290.0,105950.0,465800.0,146290.0,9370.0,4640.0,4740.0,13079583.0,254850.0,13254886.0,208950.0,9086132.0,71040.0,81617.0,43220.0,278886.0,40140.0,206861.0,43910.0,38200.0,32510.0,392536.0,35770.0,523831.0,26530.0,391450.0,61050.0,1473905.0,840.0,8810.0,36052.0,36030.0,420111.0,8910.0,563096.0,57810.0,175303.0,5200.0,1269.0,1110.0,20759.0,4610.0,27826.0,3340.0,14384.0,21690.0,23948.0,3140.0,6929.0,630.0,13288.0,66620.0,1346330.0,7321606.0,58560.0,345762.0,6550.0,7274.0,59270.0,249639.0,66350.0,609197.0,50710.0,276744.0,52450.0,234077.0,193480.0,8860416.0,192330.0,1587123.0,3970.0,20310.0,1790.0,1341.0,76390.0,82877.0,12820.0,6548.0,8270.0,4048.0,17390.0,17971.0,14870.0,2474.0,36750.0,44711.0,5120.0,1585.0,25920.0,65435.0,2790.0,8173.0,3070.0,9133.0,11100.0,1954.0,244800.0,2029490.0,52530.0,130221.0,46710.0,115994.0,34230.0,44114.0,18590.0,16490.0,1180.0,744.0,173960.0,1506481.0,188720.0,1599263.0,2620.0,4313.0,3320.0,12602.0,43130.0,157036.0,202060.0,533808.0
morgan,1197,1246,0,0,2664,OH,5990.0,2410.0,2550.0,680.0,3840.0,11750.0,3550.0,130.0,0.0,130.0,238512.0,5980.0,240848.0,4780.0,176181.0,1630.0,1068.0,780.0,2023.0,720.0,1566.0,530.0,352.0,920.0,8462.0,570.0,4216.0,560.0,5787.0,1610.0,32011.0,510.0,500.0,2105.0,800.0,7176.0,160.0,1992.0,1260.0,2336.0,150.0,36.0,0.0,0.0,100.0,394.0,100.0,388.0,370.0,354.0,20.0,57.0,0.0,0.0,760.0,13998.0,60911.0,660.0,2193.0,70.0,66.0,620.0,950.0,740.0,3329.0,530.0,2791.0,450.0,1784.0,4350.0,143968.0,4320.0,20793.0,0.0,0.0,50.0,34.0,1610.0,1778.0,130.0,6.0,70.0,31.0,280.0,297.0,370.0,62.0,1000.0,1309.0,120.0,36.0,710.0,1380.0,110.0,407.0,110.0,425.0,430.0,77.0,5610.0,31205.0,1280.0,2883.0,1120.0,2516.0,750.0,940.0,260.0,213.0,40.0,20.0,3940.0,19007.0,4350.0,20775.0,0.0,0.0,0.0,0.0,890.0,2142.0,4810.0,12344.0
morrow,2105,2371,458,0,7129,OH,15410.0,6170.0,6510.0,1630.0,8130.0,30680.0,9790.0,230.0,50.0,180.0,717666.0,15380.0,726206.0,12790.0,535788.0,3280.0,2291.0,2070.0,5085.0,1920.0,3598.0,2460.0,1553.0,2660.0,27278.0,1680.0,11338.0,1360.0,16572.0,3370.0,66143.0,830.0,740.0,3090.0,2000.0,19834.0,550.0,18997.0,3610.0,8540.0,250.0,64.0,40.0,477.0,350.0,1851.0,190.0,798.0,1150.0,1227.0,100.0,230.0,50.0,445.0,3400.0,61274.0,296371.0,3070.0,14656.0,270.0,328.0,3020.0,7155.0,3390.0,22396.0,2780.0,16825.0,2400.0,8000.0,11900.0,455415.0,11830.0,70701.0,80.0,325.0,80.0,48.0,4580.0,5373.0,380.0,25.0,360.0,176.0,820.0,950.0,1040.0,176.0,2800.0,3742.0,360.0,174.0,2060.0,4875.0,150.0,443.0,160.0,448.0,810.0,150.0,14530.0,93385.0,2840.0,6624.0,2380.0,5650.0,1840.0,2367.0,770.0,699.0,70.0,35.0,10760.0,65328.0,11860.0,71350.0,50.0,67.0,80.0,176.0,2540.0,8343.0,12200.0,30570.0
