County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
delaware,27742.0,37374.0,0.0,55260.0,68167.0,OH,86410.0,32250.0,40160.0,6150.0,41980.0,180630.0,62330.0,8199767.0,73830.0,6030567.0,36870.0,57413.0,27570.0,186280.0,25530.0,146158.0,15310.0,309019.0,730.0,22130.0,310857.0,9920.0,197361.0,16940.0,430044.0,3390.0,21818.0,9960.0,132553.0,1390.0,29712.0,47260.0,7117151.0,1294221.0,43870.0,411751.0,2650.0,2987.0,43310.0,247146.0,47160.0,668414.0,39890.0,361150.0,39770.0,154043.0,72260.0,6095981.0,7820.0,48399.0,32110.0,43845.0,5630.0,3032.0,16030.0,22303.0,2000.0,822.0,6650.0,13332.0,5490.0,11248.0,4770.0,6281.0,68150.0,1257675.0,71290.0,1307744.0,19270.0,125591.0,61930.0,186962.0
erie,2510.0,42638.0,1513.0,25020.0,2932.0,OH,39630.0,18390.0,13700.0,4760.0,20920.0,70610.0,20600.0,1922122.0,33370.0,1304409.0,12790.0,14996.0,8340.0,46412.0,7600.0,36480.0,4530.0,41250.0,410.0,6150.0,44180.0,4700.0,60531.0,10720.0,229663.0,3330.0,14507.0,6200.0,64254.0,120.0,2672.0,9710.0,1030314.0,191337.0,8340.0,47089.0,1200.0,1412.0,8710.0,27041.0,9690.0,76127.0,7510.0,50101.0,7530.0,25280.0,29760.0,1294690.0,580.0,3682.0,11140.0,11703.0,870.0,408.0,5490.0,7039.0,770.0,298.0,6800.0,14535.0,6050.0,13318.0,4110.0,4782.0,27180.0,218219.0,28990.0,228502.0,5670.0,24326.0,32050.0,75299.0
fairfield,23311.0,29111.0,0.0,38185.0,46194.0,OH,68610.0,27680.0,28130.0,7490.0,33630.0,135870.0,44820.0,3788424.0,57730.0,2822461.0,21190.0,22121.0,12540.0,53722.0,11350.0,42733.0,10290.0,112828.0,1060.0,9110.0,107130.0,6880.0,93477.0,15380.0,351319.0,3890.0,22061.0,8490.0,91570.0,320.0,5842.0,25460.0,2559714.0,521071.0,23550.0,154488.0,1430.0,1498.0,22950.0,73558.0,25380.0,232822.0,21300.0,154112.0,19910.0,64940.0,53800.0,2531339.0,1540.0,7903.0,22460.0,27763.0,2600.0,1361.0,13020.0,17457.0,1390.0,482.0,10540.0,23089.0,9170.0,20341.0,7210.0,9150.0,48900.0,407065.0,52160.0,429138.0,10800.0,41042.0,54690.0,139309.0
fayette,3288.0,4000.0,341.0,6121.0,6639.0,OH,13270.0,5860.0,4620.0,1800.0,7680.0,25430.0,8400.0,535364.0,11150.0,375147.0,2890.0,3259.0,1530.0,5534.0,1400.0,4039.0,1760.0,18032.0,480.0,1190.0,12580.0,840.0,8521.0,2840.0,53202.0,1000.0,5526.0,1470.0,13513.0,40.0,998.0,2340.0,215465.0,40589.0,2070.0,9682.0,230.0,222.0,1970.0,4121.0,2330.0,14293.0,1800.0,11327.0,1540.0,6355.0,9660.0,339690.0,110.0,547.0,3560.0,3963.0,290.0,131.0,2240.0,2719.0,160.0,46.0,2940.0,6728.0,2600.0,6032.0,1940.0,2430.0,8570.0,51368.0,9340.0,56645.0,1920.0,12438.0,10830.0,26508.0
franklin,302619.0,339260.0,15850.0,277196.0,146716.0,OH,592300.0,298950.0,166470.0,92260.0,258620.0,1090700.0,369690.0,33601803.0,511330.0,24690730.0,154050.0,218270.0,104790.0,986442.0,95540.0,607231.0,88550.0,1145001.0,840.0,79390.0,1635717.0,45020.0,730031.0,100670.0,2357940.0,28170.0,163025.0,52420.0,587268.0,3940.0,78788.0,196050.0,22943393.0,4461004.0,178740.0,1310417.0,12070.0,14123.0,171210.0,785066.0,195210.0,2147494.0,156190.0,1090478.0,156290.0,691900.0,456540.0,23178627.0,18040.0,127643.0,179300.0,199710.0,23630.0,12501.0,88420.0,104119.0,9330.0,2554.0,114240.0,275182.0,101970.0,241953.0,82780.0,111802.0,408040.0,4159614.0,442420.0,4355099.0,91450.0,376608.0,477850.0,1227438.0
fulton,7404.0,8534.0,695.0,11269.0,12713.0,OH,20870.0,8550.0,8810.0,1930.0,12280.0,40770.0,12890.0,994221.0,17630.0,709058.0,7340.0,8890.0,4170.0,15699.0,3790.0,11851.0,3060.0,32643.0,750.0,3020.0,13845.0,2370.0,28909.0,4370.0,84522.0,1970.0,8843.0,2750.0,29236.0,80.0,1329.0,5930.0,515110.0,110396.0,5180.0,25532.0,620.0,667.0,5280.0,13373.0,5910.0,39968.0,4510.0,26935.0,4440.0,20694.0,16400.0,636654.0,240.0,1331.0,6730.0,8508.0,550.0,273.0,3900.0,5420.0,420.0,196.0,3140.0,6747.0,2700.0,6037.0,2220.0,2895.0,14740.0,93698.0,15750.0,101980.0,3400.0,16900.0,16330.0,40304.0
gallia,5345.0,5060.0,0.0,6760.0,6805.0,OH,12210.0,4670.0,5350.0,1510.0,8130.0,25070.0,8190.0,549958.0,9770.0,396021.0,3230.0,5116.0,1850.0,7704.0,1720.0,6376.0,2040.0,21079.0,950.0,1220.0,15802.0,1000.0,12748.0,2910.0,62851.0,1070.0,6140.0,1540.0,14844.0,0.0,0.0,2030.0,229580.0,42478.0,1780.0,9560.0,230.0,215.0,1670.0,3534.0,2020.0,13571.0,1420.0,8922.0,1350.0,7177.0,8800.0,351191.0,140.0,964.0,3350.0,3755.0,270.0,128.0,2010.0,2520.0,210.0,86.0,2830.0,6875.0,2540.0,6027.0,1850.0,2215.0,7850.0,55990.0,8720.0,59129.0,1530.0,6257.0,10170.0,27508.0
geauga,12309.0,20264.0,2684.0,60103.0,0.0,OH,47090.0,20140.0,20430.0,2810.0,28160.0,92280.0,29930.0,3837076.0,37080.0,2452490.0,20160.0,34626.0,15080.0,139720.0,13960.0,113200.0,9540.0,179695.0,800.0,11920.0,226993.0,6480.0,127589.0,9970.0,226801.0,2400.0,14827.0,7080.0,94678.0,490.0,11931.0,20080.0,3075235.0,541663.0,17800.0,169062.0,1860.0,1841.0,18440.0,94360.0,20000.0,268763.0,15950.0,131627.0,16310.0,72525.0,37580.0,2841178.0,2800.0,19874.0,15340.0,21543.0,1240.0,621.0,6860.0,9729.0,1160.0,562.0,4010.0,7432.0,3250.0,6220.0,2570.0,3427.0,34610.0,583174.0,36650.0,606639.0,10410.0,60148.0,32160.0,85435.0
greene,24991.0,32243.0,2832.0,46979.0,53935.0,OH,74690.0,32910.0,30250.0,6850.0,30870.0,140820.0,41940.0,4575950.0,61020.0,3153505.0,31750.0,36610.0,17620.0,78558.0,16110.0,57620.0,9840.0,133149.0,840.0,13680.0,117863.0,8280.0,117392.0,20410.0,598146.0,3830.0,22700.0,10620.0,120141.0,470.0,9234.0,26740.0,3053523.0,568444.0,23530.0,143221.0,2560.0,3090.0,24280.0,97354.0,26620.0,247671.0,21280.0,149518.0,21440.0,93244.0,59320.0,3202341.0,1920.0,10647.0,24050.0,27923.0,2490.0,1301.0,11310.0,15293.0,1800.0,914.0,10050.0,21011.0,8800.0,18857.0,6550.0,8101.0,54460.0,557691.0,57390.0,581543.0,13470.0,55851.0,57740.0,142616.0
guernsey,7052.0,6868.0,0.0,8477.0,8925.0,OH,17980.0,7820.0,7050.0,2040.0,9480.0,34650.0,10800.0,887582.0,14600.0,517377.0,4510.0,5115.0,2190.0,9993.0,1980.0,7859.0,2460.0,26781.0,900.0,1730.0,18069.0,1470.0,14364.0,4370.0,79826.0,1510.0,7965.0,2240.0,21903.0,50.0,688.0,2890.0,367802.0,59854.0,2530.0,17217.0,300.0,389.0,2430.0,4903.0,2880.0,22739.0,2080.0,11663.0,1940.0,9679.0,13170.0,603068.0,320.0,1356.0,4760.0,5169.0,290.0,130.0,2760.0,3483.0,340.0,218.0,3730.0,8492.0,3320.0,7646.0,2300.0,2805.0,11910.0,109035.0,12780.0,113481.0,2710.0,29543.0,14390.0,36199.0
