County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
greene,0.0,0.0,3459.0,0.0,7546.0,PA,-68.0,7240.0,-34.0,1620.0,-3.0,-95.0,41.0,5626.0,-72.0,18238.0,-659.0,-1641.0,-27.0,-3979.0,10.0,-3868.0,-75.0,759.0,4.0,16.0,-25381.0,-10.0,1728.0,63.0,1212.0,-229.0,-2427.0,87.0,2686.0,4.0,-54.0,-11.0,361901.0,-1235.0,39.0,535.0,-63.0,-100.0,-9.0,-40.0,1.0,1456.0,-23.0,-729.0,-22.0,372.0,-75.0,1158.0,-39.0,-697.0,-162.0,-644.0,24.0,0.0,26.0,55.0,-273.0,-94.0,-9.0,37.0,4.0,49.0,-7.0,-16.0,-51.0,2400.0,-84.0,2355.0,-39.0,-1053.0,-43.0,428.0
washington,0.0,0.0,10397.0,0.0,51369.0,PA,171.0,49320.0,-59.0,8800.0,1.0,-572.0,-511.0,420535.0,373.0,216269.0,-3520.0,-12956.0,228.0,30870.0,360.0,29767.0,-39.0,6403.0,-35.0,1132.0,56177.0,150.0,11288.0,644.0,29925.0,-1185.0,-17732.0,817.0,18308.0,29.0,330.0,-136.0,3980352.0,13438.0,49.0,14672.0,-130.0,-434.0,-120.0,2509.0,-121.0,18238.0,-209.0,-10474.0,-170.0,4982.0,450.0,354716.0,108.0,-113.0,-1219.0,-3793.0,99.0,92.0,-348.0,-615.0,-1516.0,-534.0,-123.0,-155.0,-182.0,-143.0,-332.0,-367.0,622.0,82242.0,496.0,83840.0,221.0,1633.0,-99.0,-3044.0
armstrong,0.0,0.0,1329.0,0.0,18939.0,PA,151.0,14680.0,-137.0,2870.0,-100.0,44.0,49.0,111032.0,266.0,27048.0,-1373.0,-4072.0,54.0,10042.0,75.0,9839.0,-8.0,-990.0,4.0,118.0,40136.0,155.0,2065.0,123.0,4903.0,-507.0,-6188.0,215.0,4486.0,-8.0,-112.0,-193.0,591341.0,-8539.0,-92.0,-3980.0,-82.0,-468.0,-182.0,-230.0,-193.0,-4659.0,-187.0,-2285.0,-191.0,-946.0,30.0,94530.0,8.0,-1407.0,-223.0,-53.0,-12.0,-5.0,-1.0,-65.0,-413.0,-95.0,68.0,393.0,93.0,420.0,67.0,35.0,12.0,16976.0,-66.0,17069.0,5.0,1187.0,104.0,-2764.0
butler,0.0,0.0,2892.0,0.0,59742.0,PA,853.0,42950.0,153.0,6480.0,604.0,363.0,-319.0,501673.0,690.0,203353.0,-3443.0,-6805.0,543.0,92513.0,544.0,88265.0,-97.0,-5146.0,-17.0,1175.0,22221.0,390.0,6409.0,686.0,20621.0,-982.0,-14995.0,785.0,19391.0,-24.0,-254.0,-132.0,4019303.0,9980.0,-63.0,15054.0,-132.0,-167.0,-210.0,2655.0,-167.0,19739.0,-430.0,-13746.0,-98.0,5688.0,778.0,447098.0,103.0,538.0,-676.0,1092.0,62.0,39.0,-226.0,-600.0,-980.0,-325.0,-42.0,136.0,-23.0,315.0,-172.0,-270.0,881.0,102390.0,650.0,102340.0,916.0,26690.0,-133.0,304.0
clarion,3157.0,0.0,227.0,0.0,11092.0,PA,-35.0,7970.0,-77.0,1330.0,-78.0,-156.0,-79.0,7405.0,-220.0,4124.0,-630.0,-2199.0,5.0,367.0,3.0,159.0,7.0,-1990.0,5.0,144.0,3779.0,72.0,1244.0,214.0,4361.0,-276.0,-3881.0,102.0,1978.0,-2.0,-107.0,-107.0,269534.0,-2398.0,-105.0,-733.0,1.0,2.0,-105.0,-142.0,-112.0,-911.0,-107.0,-1144.0,-47.0,-56.0,-107.0,6378.0,-4.0,-82.0,-157.0,-57.0,13.0,2.0,15.0,-8.0,-194.0,-32.0,-29.0,-1.0,-70.0,0.0,-35.0,-77.0,-90.0,935.0,-14.0,896.0,-12.0,142.0,-126.0,-933.0
crawford,769.0,0.0,1792.0,0.0,20183.0,PA,14.0,17920.0,-198.0,3500.0,-32.0,-384.0,-195.0,76802.0,25.0,29097.0,-1576.0,-3236.0,-158.0,2808.0,-151.0,3318.0,-166.0,5354.0,31.0,140.0,8616.0,109.0,3068.0,97.0,6212.0,-534.0,-6823.0,294.0,5375.0,7.0,292.0,-265.0,641668.0,179.0,-79.0,1028.0,-64.0,-94.0,-276.0,-440.0,-244.0,175.0,-329.0,-2962.0,-147.0,1039.0,-8.0,57273.0,31.0,-21.0,-417.0,-727.0,-43.0,-9.0,-42.0,-51.0,-498.0,-150.0,-6.0,54.0,14.0,42.0,-98.0,-44.0,113.0,12497.0,40.0,12996.0,146.0,2672.0,-35.0,-665.0
erie,22562.0,0.0,3560.0,0.0,51012.0,PA,-649.0,64100.0,-378.0,16340.0,-1116.0,-2417.0,-1154.0,456702.0,-419.0,76424.0,-4569.0,-9703.0,-159.0,38125.0,2.0,37595.0,-93.0,6795.0,-13.0,690.0,178173.0,344.0,8156.0,562.0,18380.0,-2567.0,-24006.0,719.0,18451.0,-16.0,-175.0,-759.0,3347747.0,-657.0,-391.0,2472.0,-181.0,-281.0,-643.0,4024.0,-747.0,6524.0,-729.0,-10946.0,-431.0,3014.0,-22.0,388893.0,52.0,772.0,-1649.0,-1638.0,-39.0,33.0,-178.0,-364.0,-1802.0,-441.0,-260.0,73.0,-310.0,-79.0,-380.0,-361.0,424.0,67355.0,341.0,67481.0,342.0,23708.0,-833.0,-1476.0
mercer,0.0,0.0,1718.0,0.0,23869.0,PA,232.0,25270.0,-206.0,5410.0,259.0,-494.0,-338.0,244438.0,83.0,28539.0,-2173.0,-5991.0,20.0,3104.0,82.0,3158.0,0.0,2923.0,36.0,413.0,22296.0,132.0,1726.0,437.0,15337.0,-540.0,-7869.0,780.0,15638.0,22.0,343.0,-265.0,1119451.0,3460.0,-229.0,3055.0,-44.0,-262.0,-295.0,-236.0,-258.0,2932.0,-390.0,-4509.0,-196.0,4040.0,720.0,223422.0,95.0,653.0,-454.0,-545.0,-36.0,-12.0,-39.0,-192.0,-599.0,-131.0,-203.0,166.0,-117.0,244.0,-53.0,-76.0,906.0,52329.0,685.0,52625.0,1229.0,21684.0,-920.0,-3000.0
bedford,0.0,0.0,5726.0,0.0,15752.0,PA,-157.0,9800.0,-55.0,1790.0,-317.0,-315.0,-147.0,19503.0,-119.0,15614.0,-743.0,-1329.0,57.0,2722.0,34.0,2552.0,-61.0,312.0,16.0,90.0,2678.0,52.0,560.0,47.0,2496.0,-258.0,-4041.0,205.0,3726.0,-3.0,-175.0,-177.0,344344.0,-1586.0,-79.0,492.0,3.0,-187.0,-120.0,-47.0,-156.0,125.0,-164.0,-2005.0,-109.0,194.0,-52.0,18890.0,0.0,8.0,-197.0,-297.0,-7.0,-5.0,-42.0,-69.0,-274.0,-170.0,-88.0,78.0,-35.0,161.0,-94.0,-115.0,37.0,3456.0,-52.0,3636.0,-38.0,1289.0,-64.0,-58.0
blair,0.0,0.0,17094.0,0.0,32662.0,PA,-68.0,28560.0,-21.0,6000.0,-199.0,-273.0,-135.0,140844.0,-102.0,34297.0,-1998.0,-2926.0,-16.0,21020.0,68.0,21810.0,-145.0,2434.0,14.0,336.0,23778.0,178.0,5279.0,191.0,15182.0,-489.0,-6739.0,606.0,9322.0,8.0,-253.0,-394.0,1209728.0,-6583.0,-356.0,717.0,25.0,-501.0,-421.0,-613.0,-414.0,-726.0,-415.0,-5326.0,-327.0,-1529.0,-176.0,117677.0,4.0,176.0,-842.0,-1183.0,-8.0,16.0,-202.0,-347.0,-1107.0,-133.0,148.0,858.0,163.0,820.0,33.0,79.0,-96.0,25953.0,-129.0,26270.0,343.0,3813.0,-184.0,-361.0
