County,D0,D1,OTHER0,R0,R1,STATE,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A00101,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N09600,A09600,N07100,A07100,N07180,A07180,N07220,A07220,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
champaign,5005.0,6565.0,700.0,10541.0,12188.0,OH,56.0,7430.0,-50.0,2100.0,-22.0,-12.0,18.0,41149.0,125.0,25417.0,-526.0,-1106.0,-23.0,1700.0,-58.0,1656.0,-41.0,311.0,-7.0,4.0,3966.0,-51.0,384.0,3.0,5646.0,-378.0,-3899.0,138.0,2320.0,2.0,129.0,-321.0,369211.0,-2098.0,-293.0,194.0,-7.0,-57.0,-331.0,-417.0,-310.0,-254.0,-291.0,-3311.0,-165.0,916.0,177.0,34254.0,-7.0,160.0,-129.0,-125.0,8.0,16.0,3.0,-3.0,-261.0,-90.0,-21.0,267.0,-40.0,228.0,-5.0,104.0,179.0,6302.0,265.0,6891.0,177.0,1205.0,-130.0,174.0
clark,0.0,30599.0,0.0,30220.0,41477.0,OH,258.0,27590.0,-321.0,9710.0,-16.0,-1497.0,-1089.0,101405.0,645.0,54295.0,-1772.0,-4691.0,-94.0,4663.0,-30.0,4518.0,-45.0,3423.0,-11.0,130.0,7504.0,139.0,958.0,160.0,14775.0,-698.0,-10806.0,379.0,7697.0,-8.0,252.0,-871.0,1333010.0,-12196.0,-730.0,-1912.0,-62.0,-62.0,-855.0,-246.0,-884.0,-1084.0,-866.0,-10054.0,-595.0,1104.0,434.0,86437.0,-59.0,-146.0,-321.0,-677.0,-9.0,12.0,-207.0,-332.0,-560.0,-130.0,130.0,1220.0,156.0,1210.0,-57.0,22.0,409.0,17927.0,381.0,18805.0,311.0,3469.0,67.0,242.0
clermont,25911.0,29834.0,0.0,121243.0,0.0,OH,747.0,40420.0,-33.0,9790.0,-121.0,70.0,-250.0,331444.0,873.0,172826.0,-2290.0,-6522.0,50.0,16725.0,195.0,15705.0,-28.0,9352.0,-24.0,829.0,55692.0,232.0,7637.0,560.0,19205.0,-1190.0,-17699.0,631.0,12852.0,14.0,414.0,-1376.0,3595870.0,-21231.0,-1117.0,4313.0,-162.0,-114.0,-1260.0,-3393.0,-1366.0,855.0,-1532.0,-26329.0,-832.0,3967.0,864.0,300634.0,-87.0,293.0,-1053.0,-564.0,64.0,49.0,-329.0,-546.0,-1223.0,-332.0,113.0,1091.0,62.0,851.0,-9.0,-16.0,1153.0,67210.0,1040.0,68175.0,990.0,13694.0,-218.0,-2255.0
clinton,5136.0,5730.0,0.0,11211.0,12095.0,OH,-94.0,7690.0,-105.0,2320.0,-251.0,-370.0,-143.0,81335.0,81.0,25156.0,-409.0,-2705.0,-76.0,3904.0,-1.0,2761.0,-100.0,3761.0,11.0,52.0,10790.0,10.0,-615.0,-103.0,-554.0,-620.0,-8294.0,79.0,2005.0,8.0,404.0,-320.0,498401.0,-3696.0,-280.0,552.0,-22.0,19.0,-350.0,-853.0,-321.0,367.0,-344.0,-3875.0,-172.0,680.0,-36.0,67156.0,6.0,129.0,-207.0,-650.0,0.0,-10.0,-51.0,-107.0,-180.0,-105.0,58.0,381.0,60.0,362.0,-12.0,65.0,-22.0,14486.0,-94.0,14965.0,97.0,5707.0,-213.0,-15.0
columbiana,21127.0,20382.0,0.0,21884.0,23903.0,OH,239.0,20830.0,-194.0,5410.0,624.0,-583.0,-467.0,118757.0,324.0,50046.0,-1798.0,-1758.0,18.0,12786.0,9.0,12524.0,-20.0,4704.0,-18.0,178.0,10577.0,125.0,2100.0,360.0,14290.0,-603.0,-7633.0,338.0,5109.0,2.0,36.0,-323.0,863324.0,-1895.0,-252.0,3792.0,-18.0,-372.0,-354.0,-452.0,-301.0,2875.0,-431.0,-4776.0,-174.0,-457.0,293.0,101654.0,-12.0,10.0,-458.0,-685.0,29.0,6.0,-35.0,-88.0,-726.0,-151.0,14.0,341.0,40.0,290.0,-113.0,-144.0,392.0,23788.0,375.0,24393.0,159.0,2320.0,212.0,1017.0
coshocton,5842.0,6457.0,0.0,8037.0,9317.0,OH,74.0,6750.0,-73.0,1560.0,27.0,-180.0,-135.0,20637.0,76.0,15364.0,-475.0,-1793.0,-39.0,1661.0,-22.0,1500.0,-11.0,2334.0,15.0,72.0,-1750.0,2.0,-11.0,75.0,3367.0,-234.0,-2344.0,70.0,1465.0,7.0,35.0,-164.0,212652.0,-2726.0,-118.0,-675.0,-44.0,-54.0,-166.0,-176.0,-173.0,-718.0,-193.0,-1779.0,-119.0,-113.0,174.0,16845.0,4.0,-1797.0,-73.0,-28.0,3.0,0.0,-3.0,12.0,-133.0,-87.0,-60.0,88.0,-41.0,120.0,-56.0,-24.0,202.0,1310.0,143.0,1597.0,67.0,-671.0,12.0,254.0
crawford,6439.0,7197.0,1113.0,11168.0,11059.0,OH,13.0,8780.0,-87.0,2280.0,-70.0,-324.0,-164.0,22880.0,86.0,13565.0,-715.0,-1934.0,-54.0,2188.0,-48.0,2069.0,-41.0,228.0,8.0,36.0,2868.0,-24.0,1034.0,-46.0,1648.0,-436.0,-4753.0,151.0,1834.0,5.0,58.0,-270.0,280906.0,-3159.0,-257.0,-318.0,-43.0,-10.0,-239.0,-553.0,-277.0,-863.0,-293.0,-2338.0,-163.0,257.0,36.0,18225.0,-10.0,12.0,-334.0,-368.0,-4.0,9.0,-44.0,-113.0,-281.0,-34.0,-38.0,310.0,22.0,333.0,-8.0,51.0,106.0,3319.0,-11.0,3429.0,110.0,2846.0,-19.0,-348.0
cuyahoga,20923.0,797772.0,8772.0,223326.0,62303.0,OH,-8836.0,317010.0,-1629.0,105320.0,-3520.0,-21611.0,-9857.0,2522776.0,-3218.0,938840.0,-21499.0,-61649.0,-553.0,234239.0,87.0,223948.0,-1250.0,23885.0,-42.0,2689.0,845617.0,230.0,55283.0,2769.0,135185.0,-5317.0,-87971.0,2364.0,62167.0,-29.0,4627.0,-7553.0,24606617.0,-41090.0,-5581.0,41212.0,-763.0,-6332.0,-7211.0,-10675.0,-7410.0,36214.0,-7843.0,-106329.0,-5615.0,59138.0,-2393.0,2365063.0,-632.0,-1139.0,-8765.0,-6438.0,167.0,124.0,-2252.0,-3275.0,-7093.0,-1561.0,-3641.0,1854.609999999986,-3454.0,1955.0,-1804.0,-1392.0,1241.0,527004.0,111.0,547034.0,3497.0,61239.0,-10891.0,-49290.0
darke,0.0,6649.0,0.0,17204.0,20496.0,OH,5.0,10330.0,-191.0,2190.0,-74.0,-442.0,-252.0,87760.0,26.0,37302.0,-632.0,-1793.0,-48.0,2468.0,-31.0,2632.0,-117.0,2654.0,-12.0,252.0,12783.0,31.0,-494.0,140.0,5074.0,-548.0,-4451.0,175.0,2514.0,2.0,-122.0,-428.0,466044.0,-3922.0,-340.0,849.0,-47.0,19.0,-351.0,-503.0,-427.0,435.0,-387.0,-3358.0,-272.0,719.0,230.0,74708.0,7.0,332.0,-135.0,-271.0,7.0,3.0,-69.0,-15.0,-222.0,-62.0,-147.0,-81.0,-191.0,-33.0,-169.0,-71.0,383.0,15327.0,285.0,15908.0,186.0,5094.0,-133.0,70.0
defiance,6550.0,7314.0,690.0,9566.0,10715.0,OH,111.0,7830.0,-142.0,1980.0,14.0,-542.0,-379.0,46629.0,169.0,23942.0,-633.0,-1718.0,41.0,813.0,55.0,1096.0,-62.0,6.0,-8.0,214.0,7104.0,66.0,1540.0,-14.0,1939.0,-384.0,-3417.0,170.0,2893.0,10.0,50.0,-216.0,372853.0,-1581.0,-264.0,-71.0,53.0,78.0,-225.0,-452.0,-208.0,315.0,-269.0,-2852.0,-139.0,541.0,235.0,39569.0,13.0,149.0,-168.0,-198.0,-12.0,-9.0,-3.0,-62.0,-220.0,-87.0,-46.0,-40.0,-48.0,15.0,-131.0,-210.0,275.0,8202.0,215.0,8355.0,140.0,2484.0,-66.0,-1141.0
