County,D0,D1,OTHER0,R0,R1
adams,1496,0,0,0,4588
allen,7603,0,0,0,19660
ashland,0,0,0,0,11905
ashtabula,10305,0,1284,0,14575
athens,8647,0,41,0,5478
auglaize,2619,0,0,0,10975
belmont,9019,0,536,0,9712
brown,2992,0,0,0,8460
butler,25172,0,4883,0,56893
carroll,2617,0,302,0,4765
champaign,3066,0,0,0,8472
clark,13360,0,1892,0,23140
clermont,11238,0,0,0,39277
clinton,2014,0,0,0,7635
columbiana,9552,0,910,0,16738
coshocton,0,0,0,0,7122
crawford,3453,0,0,0,8193
cuyahoga,44228,163523,1025,50385,72001
darke,2748,0,766,0,11122
defiance,3062,0,514,0,7337
delaware,12862,0,1935,0,43892
erie,1419,11887,0,7553,2252
fairfield,12611,0,0,0,27923
fayette,1329,0,192,0,4654
franklin,50728,91769,3574,51475,92244
fulton,2735,0,483,0,7654
gallia,2267,0,199,0,4916
geauga,7282,0,1208,0,22203
greene,11846,0,1822,0,35262
guernsey,4242,0,304,0,5704
hamilton,99120,0,0,0,137856
hancock,4067,0,811,0,14854
hardin,1622,0,310,0,4568
harrison,1936,0,193,0,2484
henry,1732,0,282,0,5912
highland,2195,0,0,0,7715
hocking,2865,0,0,0,4636
holmes,0,0,0,0,5691
huron,2871,0,0,0,9548
jackson,2314,0,215,0,4466
jefferson,8283,0,572,0,10296
knox,0,0,0,0,13549
lake,21174,0,2521,0,43241
lawrence,5176,0,442,0,8732
licking,12143,0,1852,0,33095
logan,2776,0,0,0,10052
lorain,15016,14464,0,8882,30098
lucas,21896,36819,2709,9873,34746
madison,2459,0,0,0,7717
mahoning,6304,37611,590,12107,10655
marion,4928,0,116,0,10591
medina,10969,0,0,0,32968
meigs,1873,0,219,0,3607
mercer,2090,0,467,0,9661
miami,6937,0,1718,0,22336
monroe,2723,0,212,0,2130
montgomery,50289,0,4591,0,91973
morgan,1197,0,0,0,2664
morrow,2105,0,458,0,7129
muskingum,5909,0,725,0,13976
noble,1641,0,128,0,2109
ottawa,2369,4456,338,3601,4235
paulding,1775,0,333,0,3635
perry,3014,0,0,0,5913
pickaway,3494,0,0,0,9858
pike,2701,0,0,0,4241
portage,6850,12992,387,7235,12846
preble,2596,0,753,0,8232
putnam,1771,0,334,0,9024
richland,5534,0,676,0,22795
ross,5616,0,0,0,10706
sandusky,6144,0,0,0,9844
scioto,7430,0,219,0,10483
seneca,4587,0,0,0,9031
shelby,2713,0,0,0,11235
stark,11343,3002,0,2382,67923
summit,24201,45629,1226,24518,37434
trumbull,1928,35822,337,15862,3342
tuscarawas,2389,0,218,0,17122
union,3368,0,0,0,10492
van wert,1371,0,315,0,5346
vinton,1185,0,0,0,2000
warren,14037,0,0,0,44865
washington,7349,0,577,0,10662
wayne,7775,0,0,0,18911
williams,2298,0,461,0,6990
wood,11477,0,1967,0,21808
wyandot,1176,0,265,0,4270
