,STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
0,AL,01,Bradley,Byrne,bradley byrne,"Byrne, Bradley",R,1,153228
1,AL,01,"Robert, Jr.",Kennedy,"robert, kennedy","Kennedy, Robert, Jr.",D,0,89226
2,AL,02,Martha,Roby,martha roby,"Roby, Martha",R,1,138879
3,AL,02,Tabitha,Isner,tabitha isner,"Isner, Tabitha",D,0,86931
4,AL,03,Mike,Rogers,mike rogers,"Rogers, Mike",R,1,147770
5,AL,03,Mallory,Hagan,mallory hagan,"Hagan, Mallory",D,0,83996
6,AL,04,Robert,Aderholt,robert aderholt,"Aderholt, Robert",R,1,184255
7,AL,04,Lee,Auman,lee auman,"Auman, Lee",D,0,46492
8,AL,05,Mo,Brooks,mo brooks,"Brooks, Mo",R,1,159063
9,AL,05,Peter ,Joffrion,peter joffrion,"Joffrion, Peter ",D,0,101388
10,AL,06,Gary,Palmer,gary palmer,"Palmer, Gary",R,1,192542
11,AL,06,Danner,Kline,danner kline,"Kline, Danner",D,0,85644
12,AL,07,Terri A.,Sewell,terri sewell,"Sewell, Terri A.",D,1,185010
13,AK,00,Don,Young,don young,"Young, Don",R,1,149779
14,AK,00,Alyse S.,Galvin,alyse galvin,"Galvin, Alyse S.",OTHER,0,131199
15,AS,00,Aumua,Amata,aumua amata,"Amata, Aumua",R,1,7194
16,AS,00,Tuika,Tuika,tuika tuika,"Tuika, Tuika",OTHER,0,807
17,AS,00,Meleagi,Suitonu-Chapman,meleagi suitonu-chapman,"Suitonu-Chapman, Meleagi",D,0,637
18,AZ,01,Tom,O'Halleran,tom o'halleran,"O'Halleran, Tom",D,1,143240
19,AZ,01,Wendy,Rogers,wendy rogers,"Rogers, Wendy",R,0,122784
20,AZ,01,David,Shock,david shock,"Shock, David",OTHER,0,65
21,AZ,02,Lea Marquez,Peterson,lea peterson,"Peterson, Lea Marquez",R,0,133083
22,AZ,02,Ann,Kirkpatrick,ann kirkpatrick,"Kirkpatrick, Ann",D,0,161000
23,AZ,02,Jordan,Flayer,jordan flayer,"Flayer, Jordan",OTHER,0,50
24,AZ,02,Melissa,Grable,melissa grable,"Grable, Melissa",OTHER,0,19
