,STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
0,AL,01,Jo,Bonner,jo bonner,"Bonner, Jo",R,1,196374
1,AL,02,Martha,Roby,martha roby,"Roby, Martha",R,1,180591
2,AL,02,Therese,Ford,therese ford,"Ford, Therese",D,0,103092
3,AL,03,Mike,Rogers,mike rogers,"Rogers, Mike",R,1,175306
4,AL,03,John Andrew,Harris,john harris,"Harris, John Andrew",D,0,98141
5,AL,04,Robert,Aderholt,robert aderholt,"Aderholt, Robert",R,1,199071
6,AL,04,Daniel H.,Boman,daniel boman,"Boman, Daniel H.",D,0,69706
7,AL,05,Mo,Brooks,mo brooks,"Brooks, Mo",R,1,189185
8,AL,05,Charlie L.,Holley,charlie holley,"Holley, Charlie L.",D,0,101772
9,AL,06,Spencer,Bachus,spencer bachus,"Bachus, Spencer",R,1,219262
10,AL,06,"Penny ""Colonel""",Bailey,penny bailey,"Bailey, Penny ""Colonel""",D,0,88267
11,AL,07,Terri A.,Sewell,terri sewell,"Sewell, Terri A.",D,1,232520
12,AL,07,Don,Chamberlain,don chamberlain,"Chamberlain, Don",R,0,73835
13,AK,00,Don,Young,don young,"Young, Don",R,1,185296
14,AK,00,Sharon M.,Cissna,sharon cissna,"Cissna, Sharon M.",D,0,82927
15,AK,00,Jim C.,McDermott,jim mcdermott,"McDermott, Jim C.",OTHER,0,15028
16,AK,00,Ted,Gianoutsos,ted gianoutsos,"Gianoutsos, Ted",OTHER,0,5589
17,AS,00,Eni F.H.,Faleomavaega,eni faleomavaega,"Faleomavaega, Eni F.H.",D,1,7221
18,AS,00,Aumua,Amata,aumua amata,"Amata, Aumua",OTHER,0,4420
19,AS,00,Rosie F. Tago,Lancaster,rosie lancaster,"Lancaster, Rosie F. Tago",OTHER,0,697
20,AS,00,"Kereti, Jr.",Mata'utia,"kereti, mata'utia","Mata'utia, Kereti, Jr.",D,0,438
21,AS,00,Fatumalala Leulua'iali'i A.,Al-Sheri,fatumalala al-sheri,"Al-Sheri, Fatumalala Leulua'iali'i A.",OTHER,0,300
22,AZ,01,Ann,Kirkpatrick,ann kirkpatrick,"Kirkpatrick, Ann",D,0,122774
23,AZ,01,Jonathan,Paton,jonathan paton,"Paton, Jonathan",R,0,113594
24,AZ,01,Kim,Allen,kim allen,"Allen, Kim",OTHER,0,15227
25,AZ,02,Ron ,Barber,ron barber,"Barber, Ron ",D,1,147338
26,AZ,02,Martha ,McSally,martha mcsally,"McSally, Martha ",R,0,144884
27,AZ,02,Anthony,Prowell,anthony prowell,"Prowell, Anthony",OTHER,0,57
28,AZ,03,Raúl M.,Grijalva,raúl grijalva,"Grijalva, Raúl M.",D,1,98468
29,AZ,03,Gabriela,Saucedo Mercer,gabriela saucedo mercer,"Saucedo Mercer, Gabriela",R,0,62663
30,AZ,03,Blanca,Guerra,blanca guerra,"Guerra, Blanca",OTHER,0,7567
31,AZ,04,Raul,Gosar,raul gosar,"Gosar, Raul",R,1,162907
32,AZ,04,Johnnie,Robinson,johnnie robinson,"Robinson, Johnnie",D,0,69154
33,AZ,04,Joe,Pamelia,joe pamelia,"Pamelia, Joe",OTHER,0,9306
34,AZ,04,Richard,Grayson,richard grayson,"Grayson, Richard",OTHER,0,2393
35,AZ,05,Matt,Salmon,matt salmon,"Salmon, Matt",R,0,183470
36,AZ,05,Spencer,Morgan,spencer morgan,"Morgan, Spencer",D,0,89589
37,AZ,06,David,Schweikert,david schweikert,"Schweikert, David",R,1,179706
38,AZ,06,Matt,Jette,matt jette,"Jette, Matt",D,0,97666
39,AZ,06,Jack,Anderson,jack anderson,"Anderson, Jack",OTHER,0,10167
40,AZ,06,Mark,Salazar,mark salazar,"Salazar, Mark",OTHER,0,5637
41,AZ,06,James,Ketover,james ketover,"Ketover, James",OTHER,0,1
42,AZ,07,Ed,Pastor,ed pastor,"Pastor, Ed",D,1,104489
43,AZ,07,Joe,Cobb,joe cobb,"Cobb, Joe",OTHER,0,23338
44,AZ,08,Trent ,Franks,trent franks,"Franks, Trent ",R,1,172809
45,AZ,08,Gene,Scharer,gene scharer,"Scharer, Gene",D,0,95635
46,AZ,08,Stephen,Dolgos,stephen dolgos,"Dolgos, Stephen",OTHER,0,4347
47,AZ,09,Kyrsten,Sinema,kyrsten sinema,"Sinema, Kyrsten",D,0,121881
48,AZ,09,Vernon B.,Parker,vernon parker,"Parker, Vernon B.",R,0,111630
49,AZ,09,Powell,Gammill,powell gammill,"Gammill, Powell",OTHER,0,16620
50,AZ,S,Jeff,Flake,jeff flake,"Flake, Jeff",R,0,1104457
51,AZ,S,Richard,Carmona,richard carmona,"Carmona, Richard",D,0,1036542
52,AZ,S,Marc,Victor,marc victor,"Victor, Marc",OTHER,0,102109
53,AZ,S,Stephen,Watts,stephen watts,"Watts, Stephen",OTHER,0,290
54,AZ,S,Don,Manspeaker,don manspeaker,"Manspeaker, Don",OTHER,0,24
55,AR,01,Rick ,Crawford,rick crawford,"Crawford, Rick ",R,1,138800
56,AR,01,Scott,Ellington,scott ellington,"Ellington, Scott",D,0,96601
57,AR,01,Jessica,Paxton,jessica paxton,"Paxton, Jessica",OTHER,0,6427
58,AR,01,Jacob,Holloway,jacob holloway,"Holloway, Jacob",OTHER,0,5015
59,AR,02,Tim ,Griffin,tim griffin,"Griffin, Tim ",R,1,158175
60,AR,02,Herb,Rule,herb rule,"Rule, Herb",D,0,113156
61,AR,02,Barbara,Ward,barbara ward,"Ward, Barbara",OTHER,0,8566
62,AR,02,Chris,Hayes,chris hayes,"Hayes, Chris",OTHER,0,6701
63,AR,03,Steve,Womack,steve womack,"Womack, Steve",R,1,186467
64,AR,03,Rebekah,Kennedy,rebekah kennedy,"Kennedy, Rebekah",OTHER,0,39318
65,AR,03,David,Pangrac,david pangrac,"Pangrac, David",OTHER,0,19875
66,AR,04,Tom,Cotton,tom cotton,"Cotton, Tom",R,0,154149
67,AR,04,Gene,Jeffress,gene jeffress,"Jeffress, Gene",D,0,95013
68,AR,04,Bobby,Tullis,bobby tullis,"Tullis, Bobby",OTHER,0,4984
69,AR,04,J. Joshua,Drake,j. drake,"Drake, J. Joshua",OTHER,0,4807
70,CA,01,Doug,La Malfa,doug la malfa,"La Malfa, Doug",R,0,168827
71,CA,01,Jim,Reed,jim reed,"Reed, Jim",D,0,125386
72,CA,02,Jared ,Huffman,jared huffman,"Huffman, Jared ",D,0,226216
73,CA,02,Daniel W.,Roberts,daniel roberts,"Roberts, Daniel W.",R,0,91310
74,CA,03,John ,Garamendi,john garamendi,"Garamendi, John ",D,1,126882
75,CA,03,Kim ,Vann,kim vann,"Vann, Kim ",R,0,107086
76,CA,04,Tom,McClintock,tom mcclintock,"McClintock, Tom",R,1,197803
77,CA,04,Jack ,Uppal,jack uppal,"Uppal, Jack ",D,0,125885
78,CA,05,Mike ,Thompson,mike thompson,"Thompson, Mike ",D,1,202872
79,CA,05,Randy,Loftin,randy loftin,"Loftin, Randy",R,0,69545
80,CA,06,Doris ,Matsui,doris matsui,"Matsui, Doris ",D,1,160667
