STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
MI,05,Steve,Sluka,steve sluka,"Sluka, Steve",OTHER,0,7006
MI,05,Harley,Mikkelson,harley mikkelson,"Mikkelson, Harley",OTHER,0,4904
MI,06,Fred,Upton,fred upton,"Upton, Fred",R,1,193259
MI,06,Paul,Clements,paul clements,"Clements, Paul",D,0,119980
MI,06,Lorence,Wenke,lorence wenke,"Wenke, Lorence",OTHER,0,16248
MI,06,Richard Miller,Overton,richard overton,"Overton, Richard Miller",OTHER,0,78
MI,07,Tim,Walberg,tim walberg,"Walberg, Tim",R,1,184321
MI,07,Gretchen D.,Driskell,gretchen driskell,"Driskell, Gretchen D.",D,0,134010
MI,07,Ken,Proctor,ken proctor,"Proctor, Ken",OTHER,0,16476
MI,08,Mike,Bishop,mike bishop,"Bishop, Mike",R,1,205629
MI,08,Suzanna,Shkreli,suzanna shkreli,"Shkreli, Suzanna  #",D,0,143791
MI,08,Jeff,Wood,jeff wood,"Wood, Jeff",OTHER,0,9619
MI,08,Maria,Green,maria green,"Green, Maria",OTHER,0,5679
MI,08,Jeremy,Burgess,jeremy burgess,"Burgess, Jeremy",OTHER,0,2250
MI,09,Sander,Levin,sander levin,"Levin, Sander",D,1,199661
MI,09,Christopher R.,Morse,christopher morse,"Morse, Christopher R.",R,0,128937
MI,09,Matthew,Orlando,matthew orlando,"Orlando, Matthew",OTHER,0,9563
MI,09,John V.,McDermott,john mcdermott,"McDermott, John V.",OTHER,0,6614
MI,10,Paul ,Mitchell,paul mitchell,"Mitchell, Paul ",R,0,215132
MI,10,"Frank, Jr.",Accavitti,frank accavitti,"Accavitti, Frank, Jr.",D,0,110112
MI,10,Lisa Lane,Gioia,lisa gioia,"Gioia, Lisa Lane",OTHER,0,10612
MI,10,Benjamin,Nofs,benjamin nofs,"Nofs, Benjamin",OTHER,0,5127
MI,11,David A.,Trott,david trott,"Trott, David A.",R,1,200872
MI,11,Anil ,Kumar,anil kumar,"Kumar, Anil ",D,0,152461
MI,11,Kerry,Bentivolio,kerry bentivolio,"Bentivolio, Kerry",OTHER,0,16610
MI,11,Jonathan Ray,Osment,jonathan osment,"Osment, Jonathan Ray",OTHER,0,9545
MI,12,Debbie,Dingell,debbie dingell,"Dingell, Debbie",D,1,211378
MI,12,Jeff,Jones,jeff jones,"Jones, Jeff",R,0,96104
MI,12,Gary,Walkowicz,gary walkowicz,"Walkowicz, Gary",OTHER,0,9183
MI,12,Tom,Bagwell,tom bagwell,"Bagwell, Tom",OTHER,0,7489
MI,12,Dylan,Calewarts,dylan calewarts,"Calewarts, Dylan",OTHER,0,4377
MI,12,Ejaz,Virk,ejaz virk,"Virk, Ejaz",OTHER,0,11
MI,13,"John, Jr.",Conyers,john conyers,"Conyers, John, Jr.",D,1,198771
MI,13,Jeff,Gorman,jeff gorman,"Gorman, Jeff",R,0,40541
MI,13,Tiffany,Hayden,tiffany hayden,"Hayden, Tiffany",OTHER,0,9648
MI,13,Sam,Johnson,sam johnson,"Johnson, Sam",OTHER,0,8835
MI,13,Clyde Darnell,Lynch,clyde lynch,"Lynch, Clyde Darnell",OTHER,0,2
MI,14,Brenda L.,Lawrence,brenda lawrence,"Lawrence, Brenda L.",D,1,244135
MI,14,Howard,Klausner,howard klausner,"Klausner, Howard",R,0,58103
MI,14,Gregory,Creswell,gregory creswell,"Creswell, Gregory",OTHER,0,4893
MI,14,Marcia,Squier,marcia squier,"Squier, Marcia",OTHER,0,3843
MN,01,Tim ,Walz,tim walz,"Walz, Tim ",D,1,169074
MN,01,Jim,Hagedorn,jim hagedorn,"Hagedorn, Jim",R,0,166526
MN,02,Jason,Lewis,jason lewis,"Lewis, Jason",R,0,173970
MN,02,Angie ,Craig,angie craig,"Craig, Angie ",D,0,167315
MN,02,Paula,Overby,paula overby,"Overby, Paula",OTHER,0,28869
MN,03,Erik,Paulsen,erik paulsen,"Paulsen, Erik",R,1,223077
MN,03,Terri E.,Bonoff,terri bonoff,"Bonoff, Terri E.",D,0,169243
MN,04,Betty ,McCollum,betty mccollum,"McCollum, Betty ",D,1,203299
MN,04,Greg,Ryan,greg ryan,"Ryan, Greg",R,0,121032
MN,04,Susan Pendergast,Sindt,susan sindt,"Sindt, Susan Pendergast",OTHER,0,27152
MN,05,Keith,Ellison,keith ellison,"Ellison, Keith",D,1,249964
MN,05,Frank Nelson,Drake,frank drake,"Drake, Frank Nelson",R,0,80660
MN,05,Dennis,Schuller,dennis schuller,"Schuller, Dennis",OTHER,0,30759
MN,06,Tom,Emmer,tom emmer,"Emmer, Tom",R,1,235380
MN,06,David,Snyder,david snyder,"Snyder, David",D,0,123008
MN,07,Collin,Peterson,collin peterson,"Peterson, Collin",D,1,173589
MN,07,Dave,Hughes,dave hughes,"Hughes, Dave",R,0,156952
MN,08,Rick ,Nolan,rick nolan,"Nolan, Rick ",D,1,179098
MN,08,Stewart,Mills,stewart mills,"Mills, Stewart",R,0,177089
MS,01,Trent,Kelly,trent kelly,"Kelly, Trent",R,1,206455
MS,01,Jacob,Owens,jacob owens,"Owens, Jacob",D,0,83947
MS,01,Chase,Wilson,chase wilson,"Wilson, Chase",OTHER,0,6181
MS,01,Cathy L.,Toole,cathy toole,"Toole, Cathy L.",OTHER,0,3840
MS,02,Bennie,Thompson,bennie thompson,"Thompson, Bennie",D,1,192343
MS,02,"John, II",Bouie,john bouie,"Bouie, John, II",R,0,83542
MS,02,Troy,Ray,troy ray,"Ray, Troy",OTHER,0,6918
MS,02,Johnny,McLeod,johnny mcleod,"McLeod, Johnny",OTHER,0,3823
MS,03,Gregg,Harper,gregg harper,"Harper, Gregg",R,1,209490
MS,03,Dennis,Quinn,dennis quinn,"Quinn, Dennis",D,0,96101
MS,03,Roger I.,Gerrard,roger gerrard,"Gerrard, Roger I.",OTHER,0,8696
MS,03,Lajena,Sheets,lajena sheets,"Sheets, Lajena",OTHER,0,2158
MS,04,Steven,Palazzo,steven palazzo,"Palazzo, Steven",R,1,181323
MS,04,Mark,Gladney,mark gladney,"Gladney, Mark",D,0,77505
MS,04,Richard Blake,McCluskey,richard mccluskey,"McCluskey, Richard Blake",OTHER,0,14687
MS,04,Shawn,O'Hara,shawn ohara,"O'Hara, Shawn",OTHER,0,5264
MO,01,Lacy ,Clay,lacy clay,"Clay, Lacy ",D,1,236993
MO,01,Steven G. ,Bailey,steven bailey,"Bailey, Steven G. ",R,0,62714
MO,01,Robb E.,Cunningham,robb cunningham,"Cunningham, Robb E.",OTHER,0,14317
MO,02,Ann ,Wagner,ann wagner,"Wagner, Ann ",R,1,241954
MO,02,Bill,Otto,bill otto,"Otto, Bill",D,0,155689
MO,02,Jim ,Higgins,jim higgins,"Higgins, Jim ",OTHER,0,11758
MO,02,David Justus,Arnold,david arnold,"Arnold, David Justus",OTHER,0,3895
MO,03,Blaine,Luetkemeyer,blaine luetkemeyer,"Luetkemeyer, Blaine",R,1,249865
MO,03,Kevin ,Miller,kevin miller,"Miller, Kevin ",D,0,102891
MO,03,Dan ,Hogan,dan hogan,"Hogan, Dan ",OTHER,0,11962
MO,03,Doanita,Simmons,doanita simmons,"Simmons, Doanita",OTHER,0,3605
MO,03,Harold,Davis,harold davis,"Davis, Harold",OTHER,0,10
MO,04,Vicky,Hartzler,vicky hartzler,"Hartzler, Vicky",R,1,225348
MO,04,Gordon,Christensen,gordon christensen,"Christensen, Gordon",D,0,92510
MO,04,Mark ,Bliss,mark bliss,"Bliss, Mark ",OTHER,0,14376
MO,05,"Emanuel, II",Cleaver,emanuel cleaver,"Cleaver, Emanuel, II",D,1,190766
MO,05,Jacob ,Turk,jacob turk,"Turk, Jacob ",R,0,123771
MO,05,Roy ,Welborn,roy welborn,"Welborn, Roy ",OTHER,0,9733
MO,06,Sam,Graves,sam graves,"Graves, Sam",R,1,238388
MO,06,David M. ,Blackwell,david blackwell,"Blackwell, David M. ",D,0,99692
MO,06,Russ Lee,Monchil,russ monchil,"Monchil, Russ Lee",OTHER,0,8123
MO,06,Mike,Diel,mike diel,"Diel, Mike",OTHER,0,4241
MO,07,Billy ,Long,billy long,"Long, Billy ",R,1,228692
MO,07,Genevieve (Gen),Williams,genevieve williams,"Williams, Genevieve (Gen)",D,0,92756
MO,07,Benjamin T.,Brixey,benjamin brixey,"Brixey, Benjamin T.",OTHER,0,17153
MO,07,Amber,Thomsen,amber thomsen,"Thomsen, Amber",OTHER,0,6
MO,08,Jason ,Smith,jason smith,"Smith, Jason ",R,1,229792
MO,08,Dave,Cowell,dave cowell,"Cowell, Dave",D,0,70009
MO,08,Jonathan ,Shell,jonathan shell,"Shell, Jonathan ",OTHER,0,9070
MT,00,Ryan,Zinke,ryan zinke,"Zinke, Ryan",R,1,285358
MT,00,Denise,Juneau,denise juneau,"Juneau, Denise",D,0,205919
MT,00,Rick,Breckenridge,rick breckenridge,"Breckenridge, Rick  #",OTHER,0,16554
NE,01,Jeff,Fortenberry,jeff fortenberry,"Fortenberry, Jeff",R,1,189771
NE,01,Daniel M.,Wik,daniel wik,"Wik, Daniel M.",D,0,83467
NE,02,Don,Bacon,don bacon,"Bacon, Don",R,0,141066
NE,02,Brad,Ashford,brad ashford,"Ashford, Brad",D,1,137602
NE,02,Steven,Laird,steven laird,"Laird, Steven",OTHER,0,9640
NE,03,Adrian,Smith,adrian smith,"Smith, Adrian",R,1,226720
NV,01,Dina,Titus,dina titus,"Titus, Dina",D,1,116537
NV,01,Mary,Perry,mary perry,"Perry, Mary",R,0,54174
