,STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
0,AL,01,Bradley,Byrne,bradley byrne,"Byrne, Bradley",R,1,208083
1,AL,02,Martha,Roby,martha roby,"Roby, Martha",R,1,134886
2,AL,02,Nathan ,Mathis,nathan mathis,"Mathis, Nathan ",D,0,112089
3,AL,03,Mike,Rogers,mike rogers,"Rogers, Mike",R,1,192164
4,AL,03,Jesse,Smith,jesse smith,"Smith, Jesse",D,0,94549
5,AL,04,Robert,Aderholt,robert aderholt,"Aderholt, Robert",R,1,235925
6,AL,05,Mo,Brooks,mo brooks,"Brooks, Mo",R,1,205647
7,AL,05,"Will, Jr.",Boyd,"will, boyd","Boyd, Will, Jr.",D,0,102234
8,AL,06,Gary,Palmer,gary palmer,"Palmer, Gary",R,1,245313
9,AL,06,David J.,Putman,david putman,"Putman, David J.",D,0,83709
10,AL,07,Terri A.,Sewell,terri sewell,"Sewell, Terri A.",D,1,229330
11,AK,00,Don,Young,don young,"Young, Don",R,1,155088
12,AK,00,Steve,Lindbeck,steve lindbeck,"Lindbeck, Steve",D,0,111019
13,AK,00,Jim C.,McDermott,jim mcdermott,"McDermott, Jim C.",OTHER,0,31770
14,AK,00,Bernie,Souphanavong,bernie souphanavong,"Souphanavong, Bernie",OTHER,0,9093
15,AS,00,Aumua,Amata,aumua amata,"Amata, Aumua",R,1,8923
16,AS,00,Vaitinasa Salu,Hunkin-Finau,vaitinasa hunkin-finau,"Hunkin-Finau, Vaitinasa Salu",D,0,1581
17,AS,00,Paepaetele Mapu S.,Jamias,paepaetele jamias,"Jamias, Paepaetele Mapu S.",D,0,978
18,AS,00,Meleagi,Suitonu-Chapman,meleagi suitonu-chapman,"Suitonu-Chapman, Meleagi",D,0,181
19,AS,00,Tim,Jones,tim jones,"Jones, Tim",OTHER,0,171
20,AZ,01,Tom,O'Halleran,tom o'halleran,"O'Halleran, Tom",D,0,142219
21,AZ,01,Paul,Babeu,paul babeu,"Babeu, Paul",R,0,121745
22,AZ,01,Ray,Parrish,ray parrish,"Parrish, Ray",OTHER,0,16746
23,AZ,02,Martha,McSally,martha mcsally,"McSally, Martha",R,1,179806
24,AZ,02,Matt,Heinz,matt heinz,"Heinz, Matt",D,0,135873
25,AZ,03,Raúl,Grijalva,raúl grijalva,"Grijalva, Raúl",D,1,148973
26,AZ,03,Bill,Abatecola,bill abatecola,"Abatecola, Bill",OTHER,0,1303
27,AZ,03,Jaime,Vasquez,jaime vasquez,"Vasquez, Jaime",OTHER,0,332
28,AZ,03,Harvey,Martin,harvey martin,"Martin, Harvey",OTHER,0,283
29,AZ,03,Federico,Sanchez,federico sanchez,"Sanchez, Federico",OTHER,0,144
30,AZ,04,Paul,Gosar,paul gosar,"Gosar, Paul",R,1,203487
31,AZ,04,Mikel,Weisser,mikel weisser,"Weisser, Mikel",D,0,81296
32,AZ,05,Andy,Biggs,andy biggs,"Biggs, Andy",R,0,205184
33,AZ,05,Talia,Fuentes,talia fuentes,"Fuentes, Talia",D,0,114940
34,AZ,06,David,Schweikert,david schweikert,"Schweikert, David",R,1,201578
35,AZ,06,W. John,Williamson,w. williamson,"Williamson, W. John",D,0,122866
36,AZ,07,Ruben,Gallego,ruben gallego,"Gallego, Ruben",D,1,119465
37,AZ,07,Eve,Nunez,eve nunez,"Nunez, Eve",R,0,39286
38,AZ,07,Neil B.,Westbrooks,neil westbrooks,"Westbrooks, Neil B.",OTHER,0,60
39,AZ,08,Trent,Franks,trent franks,"Franks, Trent",R,1,204942
40,AZ,08,Mark,Salazar,mark salazar,"Salazar, Mark",OTHER,0,93954
41,AZ,08,"Hayden, III",Keener,"hayden, keener","Keener, Hayden, III",OTHER,0,75
42,AZ,09,Kyrsten,Sinema,kyrsten sinema,"Sinema, Kyrsten",D,1,169055
43,AZ,09,Dave,Giles,dave giles,"Giles, Dave",R,0,108350
44,AZ,09,Cary,Dolego,cary dolego,"Dolego, Cary",OTHER,0,56
45,AZ,09,Axel,Bello,axel bello,"Bello, Axel",OTHER,0,46
46,AR,01,Rick ,Crawford,rick crawford,"Crawford, Rick ",R,1,183866
47,AR,01,Mark ,West,mark west,"West, Mark ",OTHER,0,57181
48,AR,02,French,Hill,french hill,"Hill, French",R,1,176472
49,AR,02,Dianne ,Curry,dianne curry,"Curry, Dianne ",D,0,111347
