STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
AL,01,Bradley,Byrne,bradley byrne,"Byrne, Bradley",R,1,103758
AL,01,Burton R.,LeFlore,burton leflore,"LeFlore, Burton R.",D,0,48278
AL,02,Martha,Roby,martha roby,"Roby, Martha",R,1,113103
AL,02,Erick,Wright,erick wright,"Wright, Erick",D,0,54692
AL,03,Mike,Rogers,mike rogers,"Rogers, Mike",R,1,103558
AL,03,Jesse T.,Smith,jesse smith,"Smith, Jesse T.",D,0,52816
AL,04,Robert,Aderholt,robert aderholt,"Aderholt, Robert",R,1,132831
AL,05,Mo,Brooks,mo brooks,"Brooks, Mo",R,1,115338
AL,05,Mark,Bray,mark bray,"Bray, Mark",OTHER,0,39005
AL,06,Gary,Palmer,gary palmer,"Palmer, Gary",R,0,135945
AL,06,Mark,Lester,mark lester,"Lester, Mark #",D,0,42291
AL,07,Terri A.,Sewell,terri sewell,"Sewell, Terri A.",D,1,133687
AK,00,Don,Young,don young,"Young, Don",R,1,142572
AK,00,Forrest ,Dunbar,forrest dunbar,"Dunbar, Forrest ",D,0,114602
AK,00,Jim C.,McDermott,jim mcdermott,"McDermott, Jim C.",OTHER,0,21290
AS,00,Aumua,Amata,aumua amata,"Amata, Aumua",R,0,4306
AS,00,Eni F. H.,Faleomavaega,eni faleomavaega,"Faleomavaega, Eni F. H.",D,1,3157
AS,00,Togiola,Tulafono,togiola tulafono,"Tulafono, Togiola",D,0,1130
AS,00,Mapu S.,Jamias,mapu jamias,"Jamias, Mapu S.",D,0,652
AS,00,Rosie Fuala'au Tago,Lancaster,rosie lancaster,"Lancaster, Rosie Fuala'au Tago",OTHER,0,268
AS,00,Meleagi,Suitonu-Chapman,meleagi suitonuchapman,"Suitonu-Chapman, Meleagi",D,0,229
AS,00,Tuika,Tuika,tuika tuika,"Tuika, Tuika",OTHER,0,201
AS,00,"Tuā'au Kereti, Jr.",Māta'utia,tuāau mātautia,"Māta'utia, Tuā'au Kereti, Jr.",D,0,160
AS,00,Mark,Ude,mark ude,"Ude, Mark",OTHER,0,143
AZ,01,Ann,Kirkpatrick,ann kirkpatrick,"Kirkpatrick, Ann",D,1,97391
AZ,01,Andy,Tobin,andy tobin,"Tobin, Andy",R,0,87723
AZ,02,Martha ,McSally,martha mcsally,"McSally, Martha ",R,0,109714
AZ,02,Ron,Barber,ron barber,"Barber, Ron",D,1,109547
AZ,02,Sampson U.,Ramirez,sampson ramirez,"Ramirez, Sampson U.",OTHER,0,56
AZ,02,Sydney,Dudikoff,sydney dudikoff,"Dudikoff, Sydney",OTHER,0,48
