STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
MN,03,Kendall ,Qualls,kendall qualls,"Qualls, Kendall",R,0,196625
MN,04,Betty ,McCollum,betty mccollum,"McCollum, Betty",OTHER,1,245813
MN,04,Gene ,Rechtzigel,gene rechtzigel,"Rechtzigel, Gene",R,0,112730
MN,04,Susan ,Sindt,susan sindt,"Sindt, Susan",OTHER,0,29537
MN,05,Ilhan ,Omar,ilhan omar,"Omar, Ilhan",OTHER,1,255924
MN,05,Lacy,Johnson,lacy johnson,"Johnson, Lacy",R,0,102878
MN,05,Michael ,Moore,michael moore,"Moore, Michael",OTHER,0,37979
MN,05,Toya,Woodland,toya woodland,"Woodland, Toya",OTHER,0,34
MN,06,Tom ,Emmer,tom emmer,"Emmer, Tom",R,1,270901
MN,06,Tawnja ,Zahradka,tawnja zahradka,"Zahradka, Tawnja",OTHER,0,140853
MN,07,Michelle ,Fischbach,michelle fischbach,"Fischbach, Michelle",R,0,194066
MN,07,Collin C.,Peterson,collin peterson,"Peterson, Collin C.",OTHER,1,144840
MN,07,Slater ,Johnson,slater johnson,"Johnson, Slater",OTHER,0,17710
MN,07,Rae Hart ,Anderson,rae anderson,"Anderson, Rae Hart",OTHER,0,6499
MN,08,Pete ,Stauber,pete stauber,"Stauber, Pete",R,1,223432
MN,08,Quinn ,Nystrom,quinn nystrom,"Nystrom, Quinn",OTHER,0,147853
MN,08,Judith ,Schwartzbacker,judith schwartzbacker,"Schwartzbacker, Judith",OTHER,0,22190
MS,01,Trent,Kelly,trent kelly,"Kelly, Trent",R,1,228787
MS,01,Antonia,Eliason,antonia eliason,"Eliason, Antonia",D,0,104008
MS,02,Bennie G. ,Thompson,bennie thompson,"Thompson, Bennie G. ",D,1,196224
MS,02,Brian ,Flowers,brian flowers,"Flowers, Brian ",R,0,101010
MS,03,Michael,Guest,michael guest,"Guest, Michael",R,1,221064
MS,03,"Dorothy ""Dot""",Benford,dorothy benford,"Benford, Dorothy ""Dot""",D,0,120782
MS,04,Steven M.,Palazzo,steven palazzo,"Palazzo, Steven M.",R,1,255971
MO,01,Cori,Bush,cori bush,"Bush, Cori",D,0,249087
MO,01,Anthony,Rogers,anthony rogers,"Rogers, Anthony",R,0,59940
MO,01,Alex,Furman,alex furman,"Furman, Alex",OTHER,0,6766
MO,01,Martin D.,Baker,martin baker,"Baker, Martin D.",OTHER,0,378
MO,02,Ann,Wagner,ann wagner,"Wagner, Ann",R,1,233157
MO,02,Jill ,Schupp,jill schupp,"Schupp, Jill ",D,0,204540
