,STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
1140,TX,36,"Hal J., Jr.",Ridley,hal ridley,"Ridley, Hal J., Jr.",OTHER,0,685
1141,UT,01,Rob,Bishop,rob bishop,"Bishop, Rob",R,1,84231
1142,UT,01,Donna,McAleer,donna mcaleer,"McAleer, Donna",D,0,36422
1143,UT,01,Craig,Bowden,craig bowden,"Bowden, Craig",OTHER,0,4847
1144,UT,01,Dwayne A.,Vance,dwayne vance,"Vance, Dwayne A.",OTHER,0,4534
1145,UT,02,Chris,Stewart,chris stewart,"Stewart, Chris",R,1,88915
1146,UT,02,Luz,Robles,luz robles,"Robles, Luz",D,0,47585
1147,UT,02,Shaun,McCausland,shaun mccausland,"McCausland, Shaun",OTHER,0,4509
1148,UT,02,Wayne L.,Hill,wayne hill,"Hill, Wayne L.",OTHER,0,3328
1149,UT,02,Bill,Barron,bill barron,"Barron, Bill",OTHER,0,1734
1150,UT,02,Warren,Rogers,warren rogers,"Rogers, Warren",OTHER,0,117
1151,UT,03,Jason,Chaffetz,jason chaffetz,"Chaffetz, Jason",R,1,102952
1152,UT,03,Brian,Wonnacott,brian wonnacott,"Wonnacott, Brian",D,0,32059
1153,UT,03,Zack,Strong,zack strong,"Strong, Zack",OTHER,0,3192
1154,UT,03,Stephen P.,Tryon,stephen tryon,"Tryon, Stephen P.",OTHER,0,2584
1155,UT,03,Ben J.,Mates,ben mates,"Mates, Ben J.",OTHER,0,1513
1156,UT,03,David A.,Else,david else,"Else, David A.",OTHER,0,280
1157,UT,04,Mia B.,Love,mia love,"Love, Mia B.",R,0,74936
1158,UT,04,Doug,Owens,doug owens,"Owens, Doug",D,0,67425
1159,UT,04,Tim,Aalders,tim aalders,"Aalders, Tim",OTHER,0,2032
1160,UT,04,Collin Robert,Simonsen,collin simonsen,"Simonsen, Collin Robert",OTHER,0,1424
1161,UT,04,Jim L.,Vein,jim vein,"Vein, Jim L.",OTHER,0,1351
1162,VT,00,Peter,Welch,peter welch,"Welch, Peter",D,1,123349
1163,VT,00,Mark,Donka,mark donka,"Donka, Mark",R,0,59432
1164,VT,00,Cris,Ericson,cris ericson,"Ericson, Cris",OTHER,0,2750
1165,VT,00,Matthew,Andrews,matthew andrews,"Andrews, Matthew",OTHER,0,2071
1166,VT,00,Jerry,Trudell,jerry trudell,"Trudell, Jerry",OTHER,0,2024
1167,VT,00,Randall,Meyer,randall meyer,"Meyer, Randall",OTHER,0,1685
1168,VI,00,Stacey,Plaskett,stacey plaskett,"Plaskett, Stacey",D,0,21224
1169,VI,00,Vince,Danet,vince danet,"Danet, Vince",R,0,1964
1170,VA,01,"Robert J. ""Rob"" ",Wittman,robert wittman,"Wittman, Robert J. ""Rob"" ",R,1,131861
1171,VA,01,"Norman G. ""Norm",Mosher,norman mosher,"Mosher, Norman G. ""Norm",D,0,72059
1172,VA,01,Glenda Gail,Parker,glenda parker,"Parker, Glenda Gail",OTHER,0,5097
1173,VA,02,E. Scott ,Rigell,e. rigell,"Rigell, E. Scott ",R,1,101558
1174,VA,02,Suzanne D.,Patrick,suzanne patrick,"Patrick, Suzanne D.",D,0,71178
1175,VA,03,"Robert C. ""Bobby""",Scott,robert scott,"Scott, Robert C. ""Bobby""",D,1,139197
1176,VA,04,J. Randy,Forbes,j. forbes,"Forbes, J. Randy",R,1,120684
1177,VA,04,Elliott G.,Fausz,elliott fausz,"Fausz, Elliott G.",D,0,75270
1178,VA,04,Bo C.,Brown,bo brown,"Brown, Bo C.",OTHER,0,4427
1179,VA,05,Robert,Hurt,robert hurt,"Hurt, Robert",R,1,124735
1180,VA,05,W. Lawrence,Gaughan,w. gaughan,"Gaughan, W. Lawrence",D,0,73482
1181,VA,05,Paul F.,Jones,paul jones,"Jones, Paul F.",OTHER,0,4298
1182,VA,05,Kenneth J.,Hildebrandt,kenneth hildebrandt,"Hildebrandt, Kenneth J.",OTHER,0,2209
1183,VA,06,"Robert W. ""Bob""",Goodlatte,robert goodlatte,"Goodlatte, Robert W. ""Bob""",R,1,133898
1184,VA,06,"William M. ""Will""",Hammer,william hammer,"Hammer, William M. ""Will""",OTHER,0,22161
1185,VA,06,Elaine B.,Hildebrandt,elaine hildebrandt,"Hildebrandt, Elaine B.",OTHER,0,21447
1186,VA,07 - FULL TERM,Dave A.,Brat,dave brat,"Brat, Dave A.",R,0,148026
1187,VA,07 - FULL TERM,"John K. ""Jack""",Trammell,john trammell,"Trammell, John K. ""Jack""",D,0,89914
